#omega	spectral weight
-1.000000e+01	1.122337e-03
-9.950000e+00	1.131262e-03
-9.900000e+00	1.140296e-03
-9.850000e+00	1.149441e-03
-9.800000e+00	1.158699e-03
-9.750000e+00	1.168071e-03
-9.700000e+00	1.177560e-03
-9.650000e+00	1.187167e-03
-9.600000e+00	1.196894e-03
-9.550000e+00	1.206744e-03
-9.500000e+00	1.216719e-03
-9.450000e+00	1.226820e-03
-9.400000e+00	1.237050e-03
-9.350000e+00	1.247412e-03
-9.300000e+00	1.257907e-03
-9.250000e+00	1.268538e-03
-9.200000e+00	1.279307e-03
-9.150000e+00	1.290217e-03
-9.100000e+00	1.301271e-03
-9.050000e+00	1.312470e-03
-9.000000e+00	1.323817e-03
-8.950000e+00	1.335316e-03
-8.900000e+00	1.346969e-03
-8.850000e+00	1.358778e-03
-8.800000e+00	1.370748e-03
-8.750000e+00	1.382879e-03
-8.700000e+00	1.395177e-03
-8.650000e+00	1.407643e-03
-8.600000e+00	1.420281e-03
-8.550000e+00	1.433094e-03
-8.500000e+00	1.446086e-03
-8.450000e+00	1.459259e-03
-8.400000e+00	1.472618e-03
-8.350000e+00	1.486166e-03
-8.300000e+00	1.499906e-03
-8.250000e+00	1.513843e-03
-8.200000e+00	1.527981e-03
-8.150000e+00	1.542322e-03
-8.100000e+00	1.556872e-03
-8.050000e+00	1.571634e-03
-8.000000e+00	1.586613e-03
-7.950000e+00	1.601813e-03
-7.900000e+00	1.617238e-03
-7.850000e+00	1.632894e-03
-7.800000e+00	1.648784e-03
-7.750000e+00	1.664915e-03
-7.700000e+00	1.681290e-03
-7.650000e+00	1.697915e-03
-7.600000e+00	1.714795e-03
-7.550000e+00	1.731936e-03
-7.500000e+00	1.749343e-03
-7.450000e+00	1.767022e-03
-7.400000e+00	1.784978e-03
-7.350000e+00	1.803218e-03
-7.300000e+00	1.821748e-03
-7.250000e+00	1.840574e-03
-7.200000e+00	1.859703e-03
-7.150000e+00	1.879142e-03
-7.100000e+00	1.898897e-03
-7.050000e+00	1.918976e-03
-7.000000e+00	1.939386e-03
-6.950000e+00	1.960134e-03
-6.900000e+00	1.981229e-03
-6.850000e+00	2.002678e-03
-6.800000e+00	2.024489e-03
-6.750000e+00	2.046672e-03
-6.700000e+00	2.069235e-03
-6.650000e+00	2.092187e-03
-6.600000e+00	2.115537e-03
-6.550000e+00	2.139295e-03
-6.500000e+00	2.163471e-03
-6.450000e+00	2.188075e-03
-6.400000e+00	2.213118e-03
-6.350000e+00	2.238610e-03
-6.300000e+00	2.264563e-03
-6.250000e+00	2.290989e-03
-6.200000e+00	2.317900e-03
-6.150000e+00	2.345307e-03
-6.100000e+00	2.373224e-03
-6.050000e+00	2.401664e-03
-6.000000e+00	2.430641e-03
-5.950000e+00	2.460169e-03
-5.900000e+00	2.490263e-03
-5.850000e+00	2.520938e-03
-5.800000e+00	2.552209e-03
-5.750000e+00	2.584094e-03
-5.700000e+00	2.616609e-03
-5.650000e+00	2.649771e-03
-5.600000e+00	2.683599e-03
-5.550000e+00	2.718111e-03
-5.500000e+00	2.753328e-03
-5.450000e+00	2.789269e-03
-5.400000e+00	2.825955e-03
-5.350000e+00	2.863409e-03
-5.300000e+00	2.901653e-03
-5.250000e+00	2.940711e-03
-5.200000e+00	2.980608e-03
-5.150000e+00	3.021368e-03
-5.100000e+00	3.063019e-03
-5.050000e+00	3.105589e-03
-5.000000e+00	3.149106e-03
-4.950000e+00	3.193600e-03
-4.900000e+00	3.239103e-03
-4.850000e+00	3.285648e-03
-4.800000e+00	3.333268e-03
-4.750000e+00	3.382000e-03
-4.700000e+00	3.431881e-03
-4.650000e+00	3.482949e-03
-4.600000e+00	3.535245e-03
-4.550000e+00	3.588813e-03
-4.500000e+00	3.643697e-03
-4.450000e+00	3.699943e-03
-4.400000e+00	3.757600e-03
-4.350000e+00	3.816721e-03
-4.300000e+00	3.877358e-03
-4.250000e+00	3.939570e-03
-4.200000e+00	4.003415e-03
-4.150000e+00	4.068956e-03
-4.100000e+00	4.136259e-03
-4.050000e+00	4.205394e-03
-4.000000e+00	4.276435e-03
-3.950000e+00	4.349457e-03
-3.900000e+00	4.424545e-03
-3.850000e+00	4.501783e-03
-3.800000e+00	4.581264e-03
-3.750000e+00	4.663084e-03
-3.700000e+00	4.747346e-03
-3.650000e+00	4.834159e-03
-3.600000e+00	4.923639e-03
-3.550000e+00	5.015909e-03
-3.500000e+00	5.111102e-03
-3.450000e+00	5.209356e-03
-3.400000e+00	5.310822e-03
-3.350000e+00	5.415660e-03
-3.300000e+00	5.524041e-03
-3.250000e+00	5.636149e-03
-3.200000e+00	5.752183e-03
-3.150000e+00	5.872355e-03
-3.100000e+00	5.996896e-03
-3.050000e+00	6.126054e-03
-3.000000e+00	6.260099e-03
-2.950000e+00	6.399326e-03
-2.900000e+00	6.544054e-03
-2.850000e+00	6.694634e-03
-2.800000e+00	6.851452e-03
-2.750000e+00	7.014934e-03
-2.700000e+00	7.185553e-03
-2.650000e+00	7.363838e-03
-2.600000e+00	7.550387e-03
-2.550000e+00	7.745880e-03
-2.500000e+00	7.951099e-03
-2.450000e+00	8.166963e-03
-2.400000e+00	8.394559e-03
-2.350000e+00	8.635204e-03
-2.300000e+00	8.890505e-03
-2.250000e+00	9.162421e-03
-2.200000e+00	9.453224e-03
-2.150000e+00	9.765118e-03
-2.100000e+00	1.009895e-02
-2.050000e+00	1.045165e-02
-2.000000e+00	1.081481e-02
-1.950000e+00	1.118101e-02
-1.900000e+00	1.155448e-02
-1.850000e+00	1.194907e-02
-1.800000e+00	1.237730e-02
-1.750000e+00	1.284659e-02
-1.700000e+00	1.336169e-02
-1.650000e+00	1.392715e-02
-1.600000e+00	1.454852e-02
-1.550000e+00	1.523291e-02
-1.500000e+00	1.598935e-02
-1.450000e+00	1.682917e-02
-1.400000e+00	1.776655e-02
-1.350000e+00	1.881929e-02
-1.300000e+00	2.000985e-02
-1.250000e+00	2.136684e-02
-1.200000e+00	2.292705e-02
-1.150000e+00	2.473834e-02
-1.100000e+00	2.686377e-02
-1.050000e+00	2.938760e-02
-1.000000e+00	3.242391e-02
-9.500000e-01	3.612952e-02
-9.000000e-01	4.072288e-02
-8.500000e-01	4.651199e-02
-8.000000e-01	5.393423e-02
-7.500000e-01	6.360867e-02
-7.000000e-01	7.638888e-02
-6.500000e-01	9.335951e-02
-6.000000e-01	1.155910e-01
-5.500000e-01	1.431931e-01
-5.000000e-01	1.730651e-01
-4.500000e-01	1.964197e-01
-4.000000e-01	2.019100e-01
-3.500000e-01	1.867334e-01
-3.000000e-01	1.601164e-01
-2.500000e-01	1.329010e-01
-2.000000e-01	1.104165e-01
-1.500000e-01	9.356762e-02
-1.000000e-01	8.153791e-02
-5.000000e-02	7.322466e-02
1.421085e-13	6.768695e-02
5.000000e-02	6.418267e-02
1.000000e-01	6.212428e-02
1.500000e-01	6.112968e-02
2.000000e-01	6.107495e-02
2.500000e-01	6.194843e-02
3.000000e-01	6.364836e-02
3.500000e-01	6.596857e-02
4.000000e-01	6.882712e-02
4.500000e-01	7.245454e-02
5.000000e-01	7.723500e-02
5.500000e-01	8.346812e-02
6.000000e-01	9.132972e-02
6.500000e-01	1.010470e-01
7.000000e-01	1.131563e-01
7.500000e-01	1.284503e-01
8.000000e-01	1.476155e-01
8.500000e-01	1.708763e-01
9.000000e-01	1.972808e-01
9.500000e-01	2.238789e-01
1.000000e+00	2.474292e-01
1.050000e+00	2.680263e-01
1.100000e+00	2.884338e-01
1.150000e+00	3.104098e-01
1.200000e+00	3.343575e-01
1.250000e+00	3.601925e-01
1.300000e+00	3.870937e-01
1.350000e+00	4.156475e-01
1.400000e+00	4.480890e-01
1.450000e+00	4.841775e-01
1.500000e+00	5.195657e-01
1.550000e+00	5.496133e-01
1.600000e+00	5.752195e-01
1.650000e+00	6.005785e-01
1.700000e+00	6.225936e-01
1.750000e+00	6.310652e-01
1.800000e+00	6.235372e-01
1.850000e+00	6.105610e-01
1.900000e+00	6.025883e-01
1.950000e+00	6.002365e-01
2.000000e+00	6.001142e-01
2.050000e+00	6.038818e-01
2.100000e+00	6.172038e-01
2.150000e+00	6.439248e-01
2.200000e+00	6.827314e-01
2.250000e+00	7.273263e-01
2.300000e+00	7.677314e-01
2.350000e+00	7.931837e-01
2.400000e+00	7.983657e-01
2.450000e+00	7.839444e-01
2.500000e+00	7.516517e-01
2.550000e+00	7.063462e-01
2.600000e+00	6.585469e-01
2.650000e+00	6.176133e-01
2.700000e+00	5.861872e-01
2.750000e+00	5.632609e-01
2.800000e+00	5.484606e-01
2.850000e+00	5.419152e-01
2.900000e+00	5.410790e-01
2.950000e+00	5.416716e-01
3.000000e+00	5.431435e-01
3.050000e+00	5.491371e-01
3.100000e+00	5.614339e-01
3.150000e+00	5.765826e-01
3.200000e+00	5.906786e-01
3.250000e+00	6.051181e-01
3.300000e+00	6.229126e-01
3.350000e+00	6.421919e-01
3.400000e+00	6.591095e-01
3.450000e+00	6.740189e-01
3.500000e+00	6.889974e-01
3.550000e+00	7.013256e-01
3.600000e+00	7.047708e-01
3.650000e+00	6.980797e-01
3.700000e+00	6.847492e-01
3.750000e+00	6.654495e-01
3.800000e+00	6.398586e-01
3.850000e+00	6.120864e-01
3.900000e+00	5.872937e-01
3.950000e+00	5.655728e-01
4.000000e+00	5.416589e-01
4.050000e+00	5.126995e-01
4.100000e+00	4.841070e-01
4.150000e+00	4.639833e-01
4.200000e+00	4.554305e-01
4.250000e+00	4.561117e-01
4.300000e+00	4.607413e-01
4.350000e+00	4.619091e-01
4.400000e+00	4.543953e-01
4.450000e+00	4.395112e-01
4.500000e+00	4.199660e-01
4.550000e+00	3.958829e-01
4.600000e+00	3.692174e-01
4.650000e+00	3.451996e-01
4.700000e+00	3.273993e-01
4.750000e+00	3.145933e-01
4.800000e+00	3.024164e-01
4.850000e+00	2.882458e-01
4.900000e+00	2.734972e-01
4.950000e+00	2.602107e-01
5.000000e+00	2.488135e-01
5.050000e+00	2.393823e-01
5.100000e+00	2.324885e-01
5.150000e+00	2.283184e-01
5.200000e+00	2.248879e-01
5.250000e+00	2.174397e-01
5.300000e+00	2.026043e-01
5.350000e+00	1.829412e-01
5.400000e+00	1.639307e-01
5.450000e+00	1.491283e-01
5.500000e+00	1.395522e-01
5.550000e+00	1.349599e-01
5.600000e+00	1.347302e-01
5.650000e+00	1.381147e-01
5.700000e+00	1.438882e-01
5.750000e+00	1.500741e-01
5.800000e+00	1.551676e-01
5.850000e+00	1.599338e-01
5.900000e+00	1.667268e-01
5.950000e+00	1.767934e-01
6.000000e+00	1.880477e-01
6.050000e+00	1.946460e-01
6.100000e+00	1.907398e-01
6.150000e+00	1.762447e-01
6.200000e+00	1.565311e-01
6.250000e+00	1.371474e-01
6.300000e+00	1.208235e-01
6.350000e+00	1.079688e-01
6.400000e+00	9.808434e-02
6.450000e+00	9.056051e-02
6.500000e+00	8.481496e-02
6.550000e+00	8.025025e-02
6.600000e+00	7.642462e-02
6.650000e+00	7.320077e-02
6.700000e+00	7.057023e-02
6.750000e+00	6.847875e-02
6.800000e+00	6.687945e-02
6.850000e+00	6.575588e-02
6.900000e+00	6.509444e-02
6.950000e+00	6.489606e-02
7.000000e+00	6.513612e-02
7.050000e+00	6.571597e-02
7.100000e+00	6.645693e-02
7.150000e+00	6.710973e-02
7.200000e+00	6.750248e-02
7.250000e+00	6.771359e-02
7.300000e+00	6.790795e-02
7.350000e+00	6.806635e-02
7.400000e+00	6.806667e-02
7.450000e+00	6.790730e-02
7.500000e+00	6.780706e-02
7.550000e+00	6.803634e-02
7.600000e+00	6.855961e-02
7.650000e+00	6.902923e-02
7.700000e+00	6.915977e-02
7.750000e+00	6.895759e-02
7.800000e+00	6.857253e-02
7.850000e+00	6.800535e-02
7.900000e+00	6.711333e-02
7.950000e+00	6.591052e-02
8.000000e+00	6.469148e-02
8.050000e+00	6.381609e-02
8.100000e+00	6.347891e-02
8.150000e+00	6.366074e-02
8.200000e+00	6.419878e-02
8.250000e+00	6.495208e-02
8.300000e+00	6.598995e-02
8.350000e+00	6.744255e-02
8.400000e+00	6.914097e-02
8.450000e+00	7.066115e-02
8.500000e+00	7.172512e-02
8.550000e+00	7.234314e-02
8.600000e+00	7.257069e-02
8.650000e+00	7.236293e-02
8.700000e+00	7.178426e-02
8.750000e+00	7.110006e-02
8.800000e+00	7.046870e-02
8.850000e+00	6.980562e-02
8.900000e+00	6.907829e-02
8.950000e+00	6.849574e-02
9.000000e+00	6.829312e-02
9.050000e+00	6.842416e-02
9.100000e+00	6.865550e-02
9.150000e+00	6.894346e-02
9.200000e+00	6.941252e-02
9.250000e+00	6.992988e-02
9.300000e+00	7.006373e-02
9.350000e+00	6.963410e-02
9.400000e+00	6.889899e-02
9.450000e+00	6.807164e-02
9.500000e+00	6.712622e-02
9.550000e+00	6.616868e-02
9.600000e+00	6.549871e-02
9.650000e+00	6.506913e-02
9.700000e+00	6.434185e-02
9.750000e+00	6.285753e-02
9.800000e+00	6.069655e-02
9.850000e+00	5.822512e-02
9.900000e+00	5.554159e-02
9.950000e+00	5.251100e-02
1.000000e+01	4.925545e-02
1.005000e+01	4.618994e-02
1.010000e+01	4.369458e-02
1.015000e+01	4.195562e-02
1.020000e+01	4.098421e-02
1.025000e+01	4.069894e-02
1.030000e+01	4.098677e-02
1.035000e+01	4.176237e-02
1.040000e+01	4.293963e-02
1.045000e+01	4.428451e-02
1.050000e+01	4.533470e-02
1.055000e+01	4.558967e-02
1.060000e+01	4.480723e-02
1.065000e+01	4.304948e-02
1.070000e+01	4.067134e-02
1.075000e+01	3.824117e-02
1.080000e+01	3.616676e-02
1.085000e+01	3.439906e-02
1.090000e+01	3.269529e-02
1.095000e+01	3.107145e-02
1.100000e+01	2.979766e-02
1.105000e+01	2.909093e-02
1.110000e+01	2.887279e-02
1.115000e+01	2.886381e-02
1.120000e+01	2.900680e-02
1.125000e+01	2.955137e-02
1.130000e+01	3.052173e-02
1.135000e+01	3.125043e-02
1.140000e+01	3.064335e-02
1.145000e+01	2.817702e-02
1.150000e+01	2.449149e-02
1.155000e+01	2.067292e-02
1.160000e+01	1.737915e-02
1.165000e+01	1.476439e-02
1.170000e+01	1.274658e-02
1.175000e+01	1.119101e-02
1.180000e+01	9.978000e-03
1.185000e+01	9.016596e-03
1.190000e+01	8.241149e-03
1.195000e+01	7.604936e-03
1.200000e+01	7.074607e-03
1.205000e+01	6.626104e-03
1.210000e+01	6.241834e-03
1.215000e+01	5.908737e-03
1.220000e+01	5.616976e-03
1.225000e+01	5.359029e-03
1.230000e+01	5.129070e-03
1.235000e+01	4.922524e-03
1.240000e+01	4.735759e-03
1.245000e+01	4.565855e-03
1.250000e+01	4.410443e-03
1.255000e+01	4.267582e-03
1.260000e+01	4.135668e-03
1.265000e+01	4.013362e-03
1.270000e+01	3.899540e-03
1.275000e+01	3.793252e-03
1.280000e+01	3.693686e-03
1.285000e+01	3.600148e-03
1.290000e+01	3.512040e-03
1.295000e+01	3.428843e-03
1.300000e+01	3.350104e-03
1.305000e+01	3.275426e-03
1.310000e+01	3.204463e-03
1.315000e+01	3.136906e-03
1.320000e+01	3.072482e-03
1.325000e+01	3.010948e-03
1.330000e+01	2.952088e-03
1.335000e+01	2.895707e-03
1.340000e+01	2.841629e-03
1.345000e+01	2.789697e-03
1.350000e+01	2.739768e-03
1.355000e+01	2.691712e-03
1.360000e+01	2.645412e-03
1.365000e+01	2.600760e-03
1.370000e+01	2.557657e-03
1.375000e+01	2.516014e-03
1.380000e+01	2.475748e-03
1.385000e+01	2.436783e-03
