#omega	spectral weight
-1.000000e+01	3.976603e-04
-9.950000e+00	4.010190e-04
-9.900000e+00	4.044220e-04
-9.850000e+00	4.078701e-04
-9.800000e+00	4.113643e-04
-9.750000e+00	4.149054e-04
-9.700000e+00	4.184942e-04
-9.650000e+00	4.221316e-04
-9.600000e+00	4.258186e-04
-9.550000e+00	4.295561e-04
-9.500000e+00	4.333450e-04
-9.450000e+00	4.371864e-04
-9.400000e+00	4.410812e-04
-9.350000e+00	4.450306e-04
-9.300000e+00	4.490354e-04
-9.250000e+00	4.530969e-04
-9.200000e+00	4.572162e-04
-9.150000e+00	4.613943e-04
-9.100000e+00	4.656325e-04
-9.050000e+00	4.699320e-04
-9.000000e+00	4.742940e-04
-8.950000e+00	4.787198e-04
-8.900000e+00	4.832107e-04
-8.850000e+00	4.877680e-04
-8.800000e+00	4.923931e-04
-8.750000e+00	4.970874e-04
-8.700000e+00	5.018523e-04
-8.650000e+00	5.066894e-04
-8.600000e+00	5.116002e-04
-8.550000e+00	5.165862e-04
-8.500000e+00	5.216491e-04
-8.450000e+00	5.267905e-04
-8.400000e+00	5.320121e-04
-8.350000e+00	5.373158e-04
-8.300000e+00	5.427032e-04
-8.250000e+00	5.481763e-04
-8.200000e+00	5.537369e-04
-8.150000e+00	5.593871e-04
-8.100000e+00	5.651289e-04
-8.050000e+00	5.709643e-04
-8.000000e+00	5.768956e-04
-7.950000e+00	5.829248e-04
-7.900000e+00	5.890544e-04
-7.850000e+00	5.952866e-04
-7.800000e+00	6.016240e-04
-7.750000e+00	6.080689e-04
-7.700000e+00	6.146240e-04
-7.650000e+00	6.212919e-04
-7.600000e+00	6.280754e-04
-7.550000e+00	6.349773e-04
-7.500000e+00	6.420005e-04
-7.450000e+00	6.491481e-04
-7.400000e+00	6.564232e-04
-7.350000e+00	6.638290e-04
-7.300000e+00	6.713689e-04
-7.250000e+00	6.790462e-04
-7.200000e+00	6.868646e-04
-7.150000e+00	6.948277e-04
-7.100000e+00	7.029393e-04
-7.050000e+00	7.112035e-04
-7.000000e+00	7.196241e-04
-6.950000e+00	7.282056e-04
-6.900000e+00	7.369523e-04
-6.850000e+00	7.458687e-04
-6.800000e+00	7.549595e-04
-6.750000e+00	7.642295e-04
-6.700000e+00	7.736840e-04
-6.650000e+00	7.833280e-04
-6.600000e+00	7.931670e-04
-6.550000e+00	8.032068e-04
-6.500000e+00	8.134531e-04
-6.450000e+00	8.239121e-04
-6.400000e+00	8.345901e-04
-6.350000e+00	8.454937e-04
-6.300000e+00	8.566297e-04
-6.250000e+00	8.680054e-04
-6.200000e+00	8.796280e-04
-6.150000e+00	8.915054e-04
-6.100000e+00	9.036457e-04
-6.050000e+00	9.160571e-04
-6.000000e+00	9.287486e-04
-5.950000e+00	9.417291e-04
-5.900000e+00	9.550084e-04
-5.850000e+00	9.685962e-04
-5.800000e+00	9.825031e-04
-5.750000e+00	9.967399e-04
-5.700000e+00	1.011318e-03
-5.650000e+00	1.026249e-03
-5.600000e+00	1.041546e-03
-5.550000e+00	1.057222e-03
-5.500000e+00	1.073290e-03
-5.450000e+00	1.089764e-03
-5.400000e+00	1.106661e-03
-5.350000e+00	1.123995e-03
-5.300000e+00	1.141783e-03
-5.250000e+00	1.160043e-03
-5.200000e+00	1.178793e-03
-5.150000e+00	1.198053e-03
-5.100000e+00	1.217841e-03
-5.050000e+00	1.238182e-03
-5.000000e+00	1.259095e-03
-4.950000e+00	1.280607e-03
-4.900000e+00	1.302742e-03
-4.850000e+00	1.325526e-03
-4.800000e+00	1.348988e-03
-4.750000e+00	1.373157e-03
-4.700000e+00	1.398067e-03
-4.650000e+00	1.423749e-03
-4.600000e+00	1.450240e-03
-4.550000e+00	1.477578e-03
-4.500000e+00	1.505804e-03
-4.450000e+00	1.534959e-03
-4.400000e+00	1.565091e-03
-4.350000e+00	1.596249e-03
-4.300000e+00	1.628484e-03
-4.250000e+00	1.661853e-03
-4.200000e+00	1.696416e-03
-4.150000e+00	1.732238e-03
-4.100000e+00	1.769388e-03
-4.050000e+00	1.807941e-03
-4.000000e+00	1.847977e-03
-3.950000e+00	1.889585e-03
-3.900000e+00	1.932857e-03
-3.850000e+00	1.977897e-03
-3.800000e+00	2.024817e-03
-3.750000e+00	2.073738e-03
-3.700000e+00	2.124793e-03
-3.650000e+00	2.178128e-03
-3.600000e+00	2.233907e-03
-3.550000e+00	2.292306e-03
-3.500000e+00	2.353527e-03
-3.450000e+00	2.417792e-03
-3.400000e+00	2.485355e-03
-3.350000e+00	2.556506e-03
-3.300000e+00	2.631579e-03
-3.250000e+00	2.710964e-03
-3.200000e+00	2.795127e-03
-3.150000e+00	2.884633e-03
-3.100000e+00	2.980180e-03
-3.050000e+00	3.082648e-03
-3.000000e+00	3.193161e-03
-2.950000e+00	3.313142e-03
-2.900000e+00	3.444290e-03
-2.850000e+00	3.588246e-03
-2.800000e+00	3.745411e-03
-2.750000e+00	3.912396e-03
-2.700000e+00	4.079990e-03
-2.650000e+00	4.238286e-03
-2.600000e+00	4.388253e-03
-2.550000e+00	4.542011e-03
-2.500000e+00	4.711362e-03
-2.450000e+00	4.902426e-03
-2.400000e+00	5.117640e-03
-2.350000e+00	5.358409e-03
-2.300000e+00	5.626399e-03
-2.250000e+00	5.923989e-03
-2.200000e+00	6.254412e-03
-2.150000e+00	6.621845e-03
-2.100000e+00	7.031529e-03
-2.050000e+00	7.489956e-03
-2.000000e+00	8.005125e-03
-1.950000e+00	8.586913e-03
-1.900000e+00	9.247563e-03
-1.850000e+00	1.000236e-02
-1.800000e+00	1.087052e-02
-1.750000e+00	1.187646e-02
-1.700000e+00	1.305152e-02
-1.650000e+00	1.443635e-02
-1.600000e+00	1.608432e-02
-1.550000e+00	1.806646e-02
-1.500000e+00	2.047856e-02
-1.450000e+00	2.345159e-02
-1.400000e+00	2.716718e-02
-1.350000e+00	3.188039e-02
-1.300000e+00	3.795297e-02
-1.250000e+00	4.589927e-02
-1.200000e+00	5.644148e-02
-1.150000e+00	7.054637e-02
-1.100000e+00	8.933891e-02
-1.050000e+00	1.135908e-01
-1.000000e+00	1.421851e-01
-9.500000e-01	1.693840e-01
-9.000000e-01	1.841756e-01
-8.500000e-01	1.780967e-01
-8.000000e-01	1.549935e-01
-7.500000e-01	1.262914e-01
-7.000000e-01	1.002521e-01
-6.500000e-01	7.959370e-02
-6.000000e-01	6.407911e-02
-5.500000e-01	5.263806e-02
-5.000000e-01	4.422505e-02
-4.500000e-01	3.803007e-02
-4.000000e-01	3.346761e-02
-3.500000e-01	3.010157e-02
-3.000000e-01	2.755765e-02
-2.500000e-01	2.548905e-02
-2.000000e-01	2.366592e-02
-1.500000e-01	2.205907e-02
-1.000000e-01	2.073878e-02
-5.000000e-02	1.974457e-02
1.421085e-13	1.906767e-02
5.000000e-02	1.868154e-02
1.000000e-01	1.856235e-02
1.500000e-01	1.869583e-02
2.000000e-01	1.908087e-02
2.500000e-01	1.972801e-02
3.000000e-01	2.063279e-02
3.500000e-01	2.171728e-02
4.000000e-01	2.279349e-02
4.500000e-01	2.367894e-02
5.000000e-01	2.441935e-02
5.500000e-01	2.527334e-02
6.000000e-01	2.649531e-02
6.500000e-01	2.825060e-02
7.000000e-01	3.066491e-02
7.500000e-01	3.388219e-02
8.000000e-01	3.808986e-02
8.500000e-01	4.350014e-02
9.000000e-01	5.025597e-02
9.500000e-01	5.823146e-02
1.000000e+00	6.684647e-02
1.050000e+00	7.534877e-02
1.100000e+00	8.358637e-02
1.150000e+00	9.194440e-02
1.200000e+00	1.007009e-01
1.250000e+00	1.107500e-01
1.300000e+00	1.243020e-01
1.350000e+00	1.436558e-01
1.400000e+00	1.692423e-01
1.450000e+00	1.975033e-01
1.500000e+00	2.199046e-01
1.550000e+00	2.280853e-01
1.600000e+00	2.222439e-01
1.650000e+00	2.086508e-01
1.700000e+00	1.915714e-01
1.750000e+00	1.737124e-01
1.800000e+00	1.586647e-01
1.850000e+00	1.490516e-01
1.900000e+00	1.451691e-01
1.950000e+00	1.455942e-01
2.000000e+00	1.481730e-01
2.050000e+00	1.515870e-01
2.100000e+00	1.559591e-01
2.150000e+00	1.610291e-01
2.200000e+00	1.659872e-01
2.250000e+00	1.716851e-01
2.300000e+00	1.799713e-01
2.350000e+00	1.902901e-01
2.400000e+00	1.980417e-01
2.450000e+00	1.980741e-01
2.500000e+00	1.911689e-01
2.550000e+00	1.836536e-01
2.600000e+00	1.811692e-01
2.650000e+00	1.864112e-01
2.700000e+00	2.005976e-01
2.750000e+00	2.241747e-01
2.800000e+00	2.552165e-01
2.850000e+00	2.857709e-01
2.900000e+00	3.012810e-01
2.950000e+00	2.916467e-01
3.000000e+00	2.632265e-01
3.050000e+00	2.311390e-01
3.100000e+00	2.055886e-01
3.150000e+00	1.896642e-01
3.200000e+00	1.829341e-01
3.250000e+00	1.839070e-01
3.300000e+00	1.903014e-01
3.350000e+00	1.976150e-01
3.400000e+00	1.996596e-01
3.450000e+00	1.942173e-01
3.500000e+00	1.857299e-01
3.550000e+00	1.793163e-01
3.600000e+00	1.753412e-01
3.650000e+00	1.697332e-01
3.700000e+00	1.585129e-01
3.750000e+00	1.425486e-01
3.800000e+00	1.264557e-01
3.850000e+00	1.140904e-01
3.900000e+00	1.069644e-01
3.950000e+00	1.051840e-01
4.000000e+00	1.082066e-01
4.050000e+00	1.144072e-01
4.100000e+00	1.202703e-01
4.150000e+00	1.215678e-01
4.200000e+00	1.166692e-01
