#omega	spectral weight
-1.000000e+01	1.229390e-03
-9.950000e+00	1.240098e-03
-9.900000e+00	1.250953e-03
-9.850000e+00	1.261959e-03
-9.800000e+00	1.273117e-03
-9.750000e+00	1.284432e-03
-9.700000e+00	1.295906e-03
-9.650000e+00	1.307542e-03
-9.600000e+00	1.319344e-03
-9.550000e+00	1.331314e-03
-9.500000e+00	1.343457e-03
-9.450000e+00	1.355775e-03
-9.400000e+00	1.368273e-03
-9.350000e+00	1.380953e-03
-9.300000e+00	1.393821e-03
-9.250000e+00	1.406878e-03
-9.200000e+00	1.420131e-03
-9.150000e+00	1.433582e-03
-9.100000e+00	1.447236e-03
-9.050000e+00	1.461097e-03
-9.000000e+00	1.475169e-03
-8.950000e+00	1.489458e-03
-8.900000e+00	1.503968e-03
-8.850000e+00	1.518703e-03
-8.800000e+00	1.533669e-03
-8.750000e+00	1.548871e-03
-8.700000e+00	1.564314e-03
-8.650000e+00	1.580003e-03
-8.600000e+00	1.595945e-03
-8.550000e+00	1.612144e-03
-8.500000e+00	1.628607e-03
-8.450000e+00	1.645339e-03
-8.400000e+00	1.662348e-03
-8.350000e+00	1.679640e-03
-8.300000e+00	1.697220e-03
-8.250000e+00	1.715097e-03
-8.200000e+00	1.733278e-03
-8.150000e+00	1.751769e-03
-8.100000e+00	1.770578e-03
-8.050000e+00	1.789713e-03
-8.000000e+00	1.809182e-03
-7.950000e+00	1.828994e-03
-7.900000e+00	1.849157e-03
-7.850000e+00	1.869681e-03
-7.800000e+00	1.890573e-03
-7.750000e+00	1.911845e-03
-7.700000e+00	1.933505e-03
-7.650000e+00	1.955564e-03
-7.600000e+00	1.978033e-03
-7.550000e+00	2.000922e-03
-7.500000e+00	2.024243e-03
-7.450000e+00	2.048008e-03
-7.400000e+00	2.072229e-03
-7.350000e+00	2.096918e-03
-7.300000e+00	2.122089e-03
-7.250000e+00	2.147755e-03
-7.200000e+00	2.173930e-03
-7.150000e+00	2.200630e-03
-7.100000e+00	2.227869e-03
-7.050000e+00	2.255663e-03
-7.000000e+00	2.284029e-03
-6.950000e+00	2.312984e-03
-6.900000e+00	2.342546e-03
-6.850000e+00	2.372733e-03
-6.800000e+00	2.403565e-03
-6.750000e+00	2.435061e-03
-6.700000e+00	2.467244e-03
-6.650000e+00	2.500135e-03
-6.600000e+00	2.533756e-03
-6.550000e+00	2.568132e-03
-6.500000e+00	2.603288e-03
-6.450000e+00	2.639250e-03
-6.400000e+00	2.676045e-03
-6.350000e+00	2.713702e-03
-6.300000e+00	2.752251e-03
-6.250000e+00	2.791723e-03
-6.200000e+00	2.832151e-03
-6.150000e+00	2.873570e-03
-6.100000e+00	2.916015e-03
-6.050000e+00	2.959525e-03
-6.000000e+00	3.004140e-03
-5.950000e+00	3.049902e-03
-5.900000e+00	3.096855e-03
-5.850000e+00	3.145045e-03
-5.800000e+00	3.194523e-03
-5.750000e+00	3.245339e-03
-5.700000e+00	3.297549e-03
-5.650000e+00	3.351210e-03
-5.600000e+00	3.406383e-03
-5.550000e+00	3.463134e-03
-5.500000e+00	3.521531e-03
-5.450000e+00	3.581647e-03
-5.400000e+00	3.643559e-03
-5.350000e+00	3.707349e-03
-5.300000e+00	3.773104e-03
-5.250000e+00	3.840918e-03
-5.200000e+00	3.910890e-03
-5.150000e+00	3.983125e-03
-5.100000e+00	4.057737e-03
-5.050000e+00	4.134846e-03
-5.000000e+00	4.214582e-03
-4.950000e+00	4.297085e-03
-4.900000e+00	4.382504e-03
-4.850000e+00	4.470999e-03
-4.800000e+00	4.562743e-03
-4.750000e+00	4.657923e-03
-4.700000e+00	4.756741e-03
-4.650000e+00	4.859416e-03
-4.600000e+00	4.966183e-03
-4.550000e+00	5.077300e-03
-4.500000e+00	5.193047e-03
-4.450000e+00	5.313728e-03
-4.400000e+00	5.439678e-03
-4.350000e+00	5.571260e-03
-4.300000e+00	5.708874e-03
-4.250000e+00	5.852960e-03
