#omega	spectral weight
-1.000000e+01	1.782232e-05
-9.997500e+00	1.782906e-05
-9.995000e+00	1.783580e-05
-9.992500e+00	1.784254e-05
-9.990000e+00	1.784929e-05
-9.987500e+00	1.785605e-05
-9.985000e+00	1.786280e-05
-9.982500e+00	1.786957e-05
-9.980000e+00	1.787633e-05
-9.977500e+00	1.788310e-05
-9.975000e+00	1.788987e-05
-9.972500e+00	1.789665e-05
-9.970000e+00	1.790343e-05
-9.967500e+00	1.791022e-05
-9.965000e+00	1.791700e-05
-9.962500e+00	1.792380e-05
-9.960000e+00	1.793059e-05
-9.957500e+00	1.793739e-05
-9.955000e+00	1.794420e-05
-9.952500e+00	1.795101e-05
-9.950000e+00	1.795782e-05
-9.947500e+00	1.796463e-05
-9.945000e+00	1.797145e-05
-9.942500e+00	1.797828e-05
-9.940000e+00	1.798510e-05
-9.937500e+00	1.799194e-05
-9.935000e+00	1.799877e-05
-9.932500e+00	1.800561e-05
-9.930000e+00	1.801245e-05
-9.927500e+00	1.801930e-05
-9.925000e+00	1.802615e-05
-9.922500e+00	1.803301e-05
-9.920000e+00	1.803987e-05
-9.917500e+00	1.804673e-05
-9.915000e+00	1.805360e-05
-9.912500e+00	1.806047e-05
-9.910000e+00	1.806734e-05
-9.907500e+00	1.807422e-05
-9.905000e+00	1.808110e-05
-9.902500e+00	1.808799e-05
-9.900000e+00	1.809488e-05
-9.897500e+00	1.810177e-05
-9.895000e+00	1.810867e-05
-9.892500e+00	1.811558e-05
-9.890000e+00	1.812248e-05
-9.887500e+00	1.812939e-05
-9.885000e+00	1.813631e-05
-9.882500e+00	1.814323e-05
-9.880000e+00	1.815015e-05
-9.877500e+00	1.815707e-05
-9.875000e+00	1.816400e-05
-9.872500e+00	1.817094e-05
-9.870000e+00	1.817788e-05
-9.867500e+00	1.818482e-05
-9.865000e+00	1.819177e-05
-9.862500e+00	1.819872e-05
-9.860000e+00	1.820567e-05
-9.857500e+00	1.821263e-05
-9.855000e+00	1.821959e-05
-9.852500e+00	1.822656e-05
-9.850000e+00	1.823353e-05
-9.847500e+00	1.824050e-05
-9.845000e+00	1.824748e-05
-9.842500e+00	1.825446e-05
-9.840000e+00	1.826145e-05
-9.837500e+00	1.826844e-05
-9.835000e+00	1.827544e-05
-9.832500e+00	1.828244e-05
-9.830000e+00	1.828944e-05
-9.827500e+00	1.829644e-05
-9.825000e+00	1.830346e-05
-9.822500e+00	1.831047e-05
-9.820000e+00	1.831749e-05
-9.817500e+00	1.832451e-05
-9.815000e+00	1.833154e-05
-9.812500e+00	1.833857e-05
-9.810000e+00	1.834561e-05
-9.807500e+00	1.835265e-05
-9.805000e+00	1.835969e-05
-9.802500e+00	1.836674e-05
-9.800000e+00	1.837379e-05
-9.797500e+00	1.838084e-05
-9.795000e+00	1.838790e-05
-9.792500e+00	1.839497e-05
-9.790000e+00	1.840204e-05
-9.787500e+00	1.840911e-05
-9.785000e+00	1.841618e-05
-9.782500e+00	1.842326e-05
-9.780000e+00	1.843035e-05
-9.777500e+00	1.843744e-05
-9.775000e+00	1.844453e-05
-9.772500e+00	1.845163e-05
-9.770000e+00	1.845873e-05
-9.767500e+00	1.846583e-05
-9.765000e+00	1.847294e-05
-9.762500e+00	1.848006e-05
-9.760000e+00	1.848717e-05
-9.757500e+00	1.849429e-05
-9.755000e+00	1.850142e-05
-9.752500e+00	1.850855e-05
-9.750000e+00	1.851568e-05
-9.747500e+00	1.852282e-05
-9.745000e+00	1.852996e-05
-9.742500e+00	1.853711e-05
-9.740000e+00	1.854426e-05
-9.737500e+00	1.855142e-05
-9.735000e+00	1.855858e-05
-9.732500e+00	1.856574e-05
-9.730000e+00	1.857291e-05
-9.727500e+00	1.858008e-05
-9.725000e+00	1.858725e-05
-9.722500e+00	1.859443e-05
-9.720000e+00	1.860162e-05
-9.717500e+00	1.860881e-05
-9.715000e+00	1.861600e-05
-9.712500e+00	1.862320e-05
-9.710000e+00	1.863040e-05
-9.707500e+00	1.863760e-05
-9.705000e+00	1.864481e-05
-9.702500e+00	1.865202e-05
-9.700000e+00	1.865924e-05
-9.697500e+00	1.866646e-05
-9.695000e+00	1.867369e-05
-9.692500e+00	1.868092e-05
-9.690000e+00	1.868816e-05
-9.687500e+00	1.869539e-05
-9.685000e+00	1.870264e-05
-9.682500e+00	1.870988e-05
-9.680000e+00	1.871714e-05
-9.677500e+00	1.872439e-05
-9.675000e+00	1.873165e-05
-9.672500e+00	1.873892e-05
-9.670000e+00	1.874619e-05
-9.667500e+00	1.875346e-05
-9.665000e+00	1.876074e-05
-9.662500e+00	1.876802e-05
-9.660000e+00	1.877530e-05
-9.657500e+00	1.878259e-05
-9.655000e+00	1.878989e-05
-9.652500e+00	1.879719e-05
-9.650000e+00	1.880449e-05
-9.647500e+00	1.881180e-05
-9.645000e+00	1.881911e-05
-9.642500e+00	1.882642e-05
-9.640000e+00	1.883374e-05
-9.637500e+00	1.884107e-05
-9.635000e+00	1.884840e-05
-9.632500e+00	1.885573e-05
-9.630000e+00	1.886307e-05
-9.627500e+00	1.887041e-05
-9.625000e+00	1.887775e-05
-9.622500e+00	1.888510e-05
-9.620000e+00	1.889246e-05
-9.617500e+00	1.889982e-05
-9.615000e+00	1.890718e-05
-9.612500e+00	1.891455e-05
-9.610000e+00	1.892192e-05
-9.607500e+00	1.892929e-05
-9.605000e+00	1.893668e-05
-9.602500e+00	1.894406e-05
-9.600000e+00	1.895145e-05
-9.597500e+00	1.895884e-05
-9.595000e+00	1.896624e-05
-9.592500e+00	1.897364e-05
-9.590000e+00	1.898105e-05
-9.587500e+00	1.898846e-05
-9.585000e+00	1.899588e-05
-9.582500e+00	1.900330e-05
-9.580000e+00	1.901072e-05
-9.577500e+00	1.901815e-05
-9.575000e+00	1.902558e-05
-9.572500e+00	1.903302e-05
-9.570000e+00	1.904046e-05
-9.567500e+00	1.904791e-05
-9.565000e+00	1.905536e-05
-9.562500e+00	1.906281e-05
-9.560000e+00	1.907027e-05
-9.557500e+00	1.907774e-05
-9.555000e+00	1.908520e-05
-9.552500e+00	1.909268e-05
-9.550000e+00	1.910015e-05
-9.547500e+00	1.910763e-05
-9.545000e+00	1.911512e-05
-9.542500e+00	1.912261e-05
-9.540000e+00	1.913010e-05
-9.537500e+00	1.913760e-05
-9.535000e+00	1.914511e-05
-9.532500e+00	1.915262e-05
-9.530000e+00	1.916013e-05
-9.527500e+00	1.916765e-05
-9.525000e+00	1.917517e-05
-9.522500e+00	1.918269e-05
-9.520000e+00	1.919022e-05
-9.517500e+00	1.919776e-05
-9.515000e+00	1.920530e-05
-9.512500e+00	1.921284e-05
-9.510000e+00	1.922039e-05
-9.507500e+00	1.922794e-05
-9.505000e+00	1.923550e-05
-9.502500e+00	1.924306e-05
-9.500000e+00	1.925063e-05
-9.497500e+00	1.925820e-05
-9.495000e+00	1.926577e-05
-9.492500e+00	1.927335e-05
-9.490000e+00	1.928094e-05
-9.487500e+00	1.928852e-05
-9.485000e+00	1.929612e-05
-9.482500e+00	1.930372e-05
-9.480000e+00	1.931132e-05
-9.477500e+00	1.931892e-05
-9.475000e+00	1.932654e-05
-9.472500e+00	1.933415e-05
-9.470000e+00	1.934177e-05
-9.467500e+00	1.934940e-05
-9.465000e+00	1.935703e-05
-9.462500e+00	1.936466e-05
-9.460000e+00	1.937230e-05
-9.457500e+00	1.937994e-05
-9.455000e+00	1.938759e-05
-9.452500e+00	1.939524e-05
-9.450000e+00	1.940290e-05
-9.447500e+00	1.941056e-05
-9.445000e+00	1.941823e-05
-9.442500e+00	1.942590e-05
-9.440000e+00	1.943357e-05
-9.437500e+00	1.944125e-05
-9.435000e+00	1.944893e-05
-9.432500e+00	1.945662e-05
-9.430000e+00	1.946432e-05
-9.427500e+00	1.947202e-05
-9.425000e+00	1.947972e-05
-9.422500e+00	1.948743e-05
-9.420000e+00	1.949514e-05
-9.417500e+00	1.950285e-05
