#omega	spectral weight
-1.000000e+01	1.402753e-03
-9.950000e+00	1.411646e-03
-9.900000e+00	1.420627e-03
-9.850000e+00	1.429697e-03
-9.800000e+00	1.438858e-03
-9.750000e+00	1.448110e-03
-9.700000e+00	1.457456e-03
-9.650000e+00	1.466896e-03
-9.600000e+00	1.476432e-03
-9.550000e+00	1.486065e-03
-9.500000e+00	1.495796e-03
-9.450000e+00	1.505627e-03
-9.400000e+00	1.515560e-03
-9.350000e+00	1.525596e-03
-9.300000e+00	1.535736e-03
-9.250000e+00	1.545982e-03
-9.200000e+00	1.556336e-03
-9.150000e+00	1.566798e-03
-9.100000e+00	1.577371e-03
-9.050000e+00	1.588057e-03
-9.000000e+00	1.598857e-03
-8.950000e+00	1.609772e-03
-8.900000e+00	1.620805e-03
-8.850000e+00	1.631958e-03
-8.800000e+00	1.643231e-03
-8.750000e+00	1.654628e-03
-8.700000e+00	1.666150e-03
-8.650000e+00	1.677798e-03
-8.600000e+00	1.689576e-03
-8.550000e+00	1.701485e-03
-8.500000e+00	1.713526e-03
-8.450000e+00	1.725703e-03
-8.400000e+00	1.738018e-03
-8.350000e+00	1.750472e-03
-8.300000e+00	1.763068e-03
-8.250000e+00	1.775808e-03
-8.200000e+00	1.788694e-03
-8.150000e+00	1.801730e-03
-8.100000e+00	1.814918e-03
-8.050000e+00	1.828259e-03
-8.000000e+00	1.841757e-03
-7.950000e+00	1.855415e-03
-7.900000e+00	1.869234e-03
-7.850000e+00	1.883219e-03
-7.800000e+00	1.897371e-03
-7.750000e+00	1.911694e-03
-7.700000e+00	1.926191e-03
-7.650000e+00	1.940864e-03
-7.600000e+00	1.955718e-03
-7.550000e+00	1.970754e-03
-7.500000e+00	1.985977e-03
-7.450000e+00	2.001390e-03
-7.400000e+00	2.016997e-03
-7.350000e+00	2.032800e-03
-7.300000e+00	2.048804e-03
-7.250000e+00	2.065013e-03
-7.200000e+00	2.081430e-03
-7.150000e+00	2.098059e-03
-7.100000e+00	2.114904e-03
-7.050000e+00	2.131970e-03
-7.000000e+00	2.149261e-03
-6.950000e+00	2.166781e-03
-6.900000e+00	2.184536e-03
-6.850000e+00	2.202529e-03
-6.800000e+00	2.220765e-03
-6.750000e+00	2.239250e-03
-6.700000e+00	2.257988e-03
-6.650000e+00	2.276985e-03
-6.600000e+00	2.296247e-03
-6.550000e+00	2.315778e-03
-6.500000e+00	2.335586e-03
-6.450000e+00	2.355675e-03
-6.400000e+00	2.376051e-03
-6.350000e+00	2.396723e-03
-6.300000e+00	2.417695e-03
-6.250000e+00	2.438974e-03
-6.200000e+00	2.460569e-03
-6.150000e+00	2.482485e-03
-6.100000e+00	2.504731e-03
-6.050000e+00	2.527314e-03
-6.000000e+00	2.550243e-03
-5.950000e+00	2.573526e-03
-5.900000e+00	2.597171e-03
-5.850000e+00	2.621187e-03
-5.800000e+00	2.645585e-03
-5.750000e+00	2.670374e-03
-5.700000e+00	2.695563e-03
-5.650000e+00	2.721164e-03
-5.600000e+00	2.747187e-03
-5.550000e+00	2.773645e-03
-5.500000e+00	2.800548e-03
-5.450000e+00	2.827910e-03
-5.400000e+00	2.855743e-03
-5.350000e+00	2.884061e-03
-5.300000e+00	2.912879e-03
-5.250000e+00	2.942211e-03
-5.200000e+00	2.972073e-03
-5.150000e+00	3.002482e-03
-5.100000e+00	3.033454e-03
-5.050000e+00	3.065009e-03
-5.000000e+00	3.097165e-03
-4.950000e+00	3.129943e-03
-4.900000e+00	3.163364e-03
-4.850000e+00	3.197451e-03
-4.800000e+00	3.232228e-03
-4.750000e+00	3.267720e-03
-4.700000e+00	3.303954e-03
-4.650000e+00	3.340959e-03
-4.600000e+00	3.378766e-03
-4.550000e+00	3.417408e-03
-4.500000e+00	3.456919e-03
-4.450000e+00	3.497338e-03
-4.400000e+00	3.538704e-03
-4.350000e+00	3.581062e-03
-4.300000e+00	3.624458e-03
-4.250000e+00	3.668943e-03
-4.200000e+00	3.714573e-03
-4.150000e+00	3.761406e-03
-4.100000e+00	3.809509e-03
-4.050000e+00	3.858953e-03
-4.000000e+00	3.909817e-03
-3.950000e+00	3.962186e-03
-3.900000e+00	4.016156e-03
-3.850000e+00	4.071832e-03
-3.800000e+00	4.129332e-03
-3.750000e+00	4.188788e-03
-3.700000e+00	4.250345e-03
-3.650000e+00	4.314169e-03
-3.600000e+00	4.380447e-03
-3.550000e+00	4.449393e-03
-3.500000e+00	4.521248e-03
-3.450000e+00	4.596291e-03
-3.400000e+00	4.674844e-03
-3.350000e+00	4.757280e-03
-3.300000e+00	4.844036e-03
-3.250000e+00	4.935624e-03
-3.200000e+00	5.032654e-03
-3.150000e+00	5.135848e-03
-3.100000e+00	5.246078e-03
-3.050000e+00	5.364401e-03
-3.000000e+00	5.492105e-03
-2.950000e+00	5.630785e-03
-2.900000e+00	5.782424e-03
-2.850000e+00	5.949521e-03
-2.800000e+00	6.135258e-03
-2.750000e+00	6.343738e-03
-2.700000e+00	6.580313e-03
-2.650000e+00	6.852066e-03
-2.600000e+00	7.168496e-03
-2.550000e+00	7.542534e-03
-2.500000e+00	7.992031e-03
-2.450000e+00	8.541971e-03
-2.400000e+00	9.227691e-03
-2.350000e+00	1.009940e-02
-2.300000e+00	1.122780e-02
-2.250000e+00	1.270862e-02
-2.200000e+00	1.465711e-02
-2.150000e+00	1.716599e-02
-2.100000e+00	2.016908e-02
-2.050000e+00	2.317163e-02
-2.000000e+00	2.510078e-02
-1.950000e+00	2.495446e-02
-1.900000e+00	2.290981e-02
-1.850000e+00	2.010367e-02
-1.800000e+00	1.748223e-02
-1.750000e+00	1.540400e-02
-1.700000e+00	1.387533e-02
-1.650000e+00	1.279130e-02
-1.600000e+00	1.204135e-02
-1.550000e+00	1.153797e-02
-1.500000e+00	1.121819e-02
-1.450000e+00	1.103838e-02
-1.400000e+00	1.096890e-02
-1.350000e+00	1.099003e-02
-1.300000e+00	1.108921e-02
-1.250000e+00	1.125921e-02
-1.200000e+00	1.149703e-02
-1.150000e+00	1.180339e-02
-1.100000e+00	1.218255e-02
-1.050000e+00	1.264261e-02
-1.000000e+00	1.319623e-02
-9.500000e-01	1.386183e-02
-9.000000e-01	1.466561e-02
-8.500000e-01	1.564450e-02
-8.000000e-01	1.685050e-02
-7.500000e-01	1.835662e-02
-7.000000e-01	2.026357e-02
-6.500000e-01	2.270302e-02
-6.000000e-01	2.582240e-02
-5.500000e-01	2.971356e-02
-5.000000e-01	3.423380e-02
-4.500000e-01	3.879830e-02
-4.000000e-01	4.259911e-02
-3.500000e-01	4.542372e-02
-3.000000e-01	4.785944e-02
-2.500000e-01	5.053799e-02
-2.000000e-01	5.368319e-02
-1.500000e-01	5.690695e-02
-1.000000e-01	5.918207e-02
-5.000000e-02	5.965245e-02
1.421085e-13	5.849580e-02
5.000000e-02	5.661850e-02
1.000000e-01	5.501978e-02
1.500000e-01	5.442904e-02
2.000000e-01	5.501118e-02
2.500000e-01	5.638169e-02
3.000000e-01	5.791063e-02
3.500000e-01	5.927743e-02
4.000000e-01	6.052081e-02
4.500000e-01	6.123195e-02
5.000000e-01	6.061588e-02
5.500000e-01	5.871097e-02
6.000000e-01	5.655896e-02
6.500000e-01	5.514428e-02
7.000000e-01	5.485676e-02
7.500000e-01	5.572456e-02
8.000000e-01	5.768738e-02
8.500000e-01	6.074952e-02
9.000000e-01	6.512835e-02
9.500000e-01	7.099502e-02
1.000000e+00	7.800178e-02
1.050000e+00	8.518306e-02
1.100000e+00	9.145592e-02
1.150000e+00	9.641158e-02
1.200000e+00	1.000928e-01
1.250000e+00	1.021542e-01
1.300000e+00	1.024163e-01
1.350000e+00	1.017677e-01
1.400000e+00	1.014699e-01
1.450000e+00	1.021556e-01
1.500000e+00	1.037764e-01
1.550000e+00	1.060645e-01
1.600000e+00	1.090165e-01
1.650000e+00	1.126762e-01
1.700000e+00	1.167114e-01
1.750000e+00	1.206679e-01
1.800000e+00	1.243430e-01
1.850000e+00	1.278045e-01
1.900000e+00	1.310962e-01
1.950000e+00	1.341498e-01
2.000000e+00	1.371484e-01
2.050000e+00	1.406477e-01
2.100000e+00	1.452127e-01
2.150000e+00	1.511239e-01
2.200000e+00	1.581617e-01
2.250000e+00	1.652989e-01
2.300000e+00	1.707565e-01
