#omega	spectral weight
-1.000000e+01	9.236033e-05
-9.950000e+00	9.272993e-05
-9.900000e+00	9.310187e-05
-9.850000e+00	9.347616e-05
-9.800000e+00	9.385284e-05
-9.750000e+00	9.423191e-05
-9.700000e+00	9.461341e-05
-9.650000e+00	9.499736e-05
-9.600000e+00	9.538377e-05
-9.550000e+00	9.577268e-05
-9.500000e+00	9.616409e-05
-9.450000e+00	9.655805e-05
-9.400000e+00	9.695457e-05
-9.350000e+00	9.735367e-05
-9.300000e+00	9.775538e-05
-9.250000e+00	9.815973e-05
-9.200000e+00	9.856674e-05
-9.150000e+00	9.897643e-05
-9.100000e+00	9.938883e-05
-9.050000e+00	9.980396e-05
-9.000000e+00	1.002219e-04
-8.950000e+00	1.006425e-04
-8.900000e+00	1.010661e-04
-8.850000e+00	1.014924e-04
-8.800000e+00	1.019216e-04
-8.750000e+00	1.023537e-04
-8.700000e+00	1.027888e-04
-8.650000e+00	1.032268e-04
-8.600000e+00	1.036678e-04
-8.550000e+00	1.041118e-04
-8.500000e+00	1.045588e-04
-8.450000e+00	1.050089e-04
-8.400000e+00	1.054621e-04
-8.350000e+00	1.059185e-04
-8.300000e+00	1.063780e-04
-8.250000e+00	1.068408e-04
-8.200000e+00	1.073067e-04
-8.150000e+00	1.077760e-04
-8.100000e+00	1.082485e-04
-8.050000e+00	1.087244e-04
-8.000000e+00	1.092036e-04
-7.950000e+00	1.096863e-04
-7.900000e+00	1.101724e-04
-7.850000e+00	1.106620e-04
-7.800000e+00	1.111550e-04
-7.750000e+00	1.116517e-04
-7.700000e+00	1.121519e-04
-7.650000e+00	1.126557e-04
-7.600000e+00	1.131633e-04
-7.550000e+00	1.136745e-04
-7.500000e+00	1.141894e-04
-7.450000e+00	1.147082e-04
-7.400000e+00	1.152308e-04
-7.350000e+00	1.157572e-04
-7.300000e+00	1.162876e-04
-7.250000e+00	1.168219e-04
-7.200000e+00	1.173602e-04
-7.150000e+00	1.179026e-04
-7.100000e+00	1.184491e-04
-7.050000e+00	1.189997e-04
-7.000000e+00	1.195544e-04
-6.950000e+00	1.201135e-04
-6.900000e+00	1.206768e-04
-6.850000e+00	1.212444e-04
-6.800000e+00	1.218164e-04
-6.750000e+00	1.223928e-04
-6.700000e+00	1.229737e-04
-6.650000e+00	1.235592e-04
-6.600000e+00	1.241492e-04
-6.550000e+00	1.247439e-04
-6.500000e+00	1.253433e-04
-6.450000e+00	1.259475e-04
-6.400000e+00	1.265564e-04
-6.350000e+00	1.271702e-04
-6.300000e+00	1.277890e-04
-6.250000e+00	1.284128e-04
-6.200000e+00	1.290416e-04
-6.150000e+00	1.296755e-04
-6.100000e+00	1.303146e-04
-6.050000e+00	1.309590e-04
-6.000000e+00	1.316087e-04
-5.950000e+00	1.322637e-04
-5.900000e+00	1.329242e-04
-5.850000e+00	1.335902e-04
-5.800000e+00	1.342618e-04
-5.750000e+00	1.349391e-04
-5.700000e+00	1.356221e-04
-5.650000e+00	1.363110e-04
-5.600000e+00	1.370057e-04
-5.550000e+00	1.377064e-04
-5.500000e+00	1.384132e-04
-5.450000e+00	1.391261e-04
-5.400000e+00	1.398452e-04
-5.350000e+00	1.405706e-04
-5.300000e+00	1.413024e-04
-5.250000e+00	1.420407e-04
-5.200000e+00	1.427855e-04
-5.150000e+00	1.435370e-04
-5.100000e+00	1.442953e-04
-5.050000e+00	1.450604e-04
-5.000000e+00	1.458325e-04
-4.950000e+00	1.466117e-04
-4.900000e+00	1.473980e-04
-4.850000e+00	1.481915e-04
-4.800000e+00	1.489925e-04
-4.750000e+00	1.498009e-04
-4.700000e+00	1.506169e-04
-4.650000e+00	1.514407e-04
-4.600000e+00	1.522723e-04
-4.550000e+00	1.531118e-04
-4.500000e+00	1.539594e-04
-4.450000e+00	1.548152e-04
-4.400000e+00	1.556794e-04
-4.350000e+00	1.565520e-04
-4.300000e+00	1.574332e-04
-4.250000e+00	1.583232e-04
-4.200000e+00	1.592221e-04
-4.150000e+00	1.601300e-04
-4.100000e+00	1.610471e-04
-4.050000e+00	1.619736e-04
-4.000000e+00	1.629095e-04
-3.950000e+00	1.638552e-04
-3.900000e+00	1.648106e-04
-3.850000e+00	1.657761e-04
-3.800000e+00	1.667518e-04
-3.750000e+00	1.677378e-04
-3.700000e+00	1.687344e-04
-3.650000e+00	1.697418e-04
-3.600000e+00	1.707601e-04
-3.550000e+00	1.717896e-04
-3.500000e+00	1.728304e-04
-3.450000e+00	1.738829e-04
-3.400000e+00	1.749471e-04
-3.350000e+00	1.760234e-04
-3.300000e+00	1.771119e-04
-3.250000e+00	1.782130e-04
-3.200000e+00	1.793269e-04
-3.150000e+00	1.804537e-04
-3.100000e+00	1.815939e-04
-3.050000e+00	1.827477e-04
-3.000000e+00	1.839154e-04
-2.950000e+00	1.850972e-04
-2.900000e+00	1.862935e-04
-2.850000e+00	1.875046e-04
-2.800000e+00	1.887309e-04
-2.750000e+00	1.899726e-04
-2.700000e+00	1.912301e-04
-2.650000e+00	1.925039e-04
-2.600000e+00	1.937942e-04
-2.550000e+00	1.951014e-04
-2.500000e+00	1.964261e-04
-2.450000e+00	1.977686e-04
-2.400000e+00	1.991293e-04
-2.350000e+00	2.005087e-04
-2.300000e+00	2.019073e-04
-2.250000e+00	2.033256e-04
-2.200000e+00	2.047642e-04
-2.150000e+00	2.062235e-04
-2.100000e+00	2.077041e-04
-2.050000e+00	2.092066e-04
-2.000000e+00	2.107317e-04
-1.950000e+00	2.122799e-04
-1.900000e+00	2.138520e-04
-1.850000e+00	2.154487e-04
-1.800000e+00	2.170706e-04
-1.750000e+00	2.187187e-04
-1.700000e+00	2.203936e-04
-1.650000e+00	2.220963e-04
-1.600000e+00	2.238277e-04
-1.550000e+00	2.255886e-04
-1.500000e+00	2.273802e-04
-1.450000e+00	2.292034e-04
-1.400000e+00	2.310593e-04
-1.350000e+00	2.329491e-04
-1.300000e+00	2.348741e-04
-1.250000e+00	2.368355e-04
-1.200000e+00	2.388348e-04
-1.150000e+00	2.408733e-04
-1.100000e+00	2.429526e-04
-1.050000e+00	2.450744e-04
-1.000000e+00	2.472405e-04
-9.500000e-01	2.494526e-04
-9.000000e-01	2.517127e-04
-8.500000e-01	2.540230e-04
-8.000000e-01	2.563857e-04
-7.500000e-01	2.588033e-04
-7.000000e-01	2.612782e-04
-6.500000e-01	2.638132e-04
-6.000000e-01	2.664114e-04
-5.500000e-01	2.690759e-04
-5.000000e-01	2.718101e-04
-4.500000e-01	2.746176e-04
-4.000000e-01	2.775026e-04
-3.500000e-01	2.804693e-04
-3.000000e-01	2.835222e-04
-2.500000e-01	2.866666e-04
-2.000000e-01	2.899079e-04
-1.500000e-01	2.932521e-04
-1.000000e-01	2.967056e-04
-5.000000e-02	3.002756e-04
1.421085e-13	3.039699e-04
5.000000e-02	3.077970e-04
1.000000e-01	3.117663e-04
1.500000e-01	3.158881e-04
2.000000e-01	3.201739e-04
2.500000e-01	3.246362e-04
3.000000e-01	3.292890e-04
3.500000e-01	3.341480e-04
4.000000e-01	3.392303e-04
4.500000e-01	3.445555e-04
5.000000e-01	3.501453e-04
5.500000e-01	3.560239e-04
6.000000e-01	3.622191e-04
6.500000e-01	3.687619e-04
7.000000e-01	3.756878e-04
7.500000e-01	3.830369e-04
8.000000e-01	3.908554e-04
8.500000e-01	3.991961e-04
9.000000e-01	4.081200e-04
9.500000e-01	4.176976e-04
1.000000e+00	4.280108e-04
1.050000e+00	4.391554e-04
1.100000e+00	4.512441e-04
1.150000e+00	4.644094e-04
1.200000e+00	4.788092e-04
1.250000e+00	4.946317e-04
1.300000e+00	5.121034e-04
1.350000e+00	5.314982e-04
1.400000e+00	5.531503e-04
1.450000e+00	5.774703e-04
1.500000e+00	6.049668e-04
1.550000e+00	6.362762e-04
1.600000e+00	6.722012e-04
1.650000e+00	7.137660e-04
1.700000e+00	7.622914e-04
1.750000e+00	8.195007e-04
1.800000e+00	8.876708e-04
1.850000e+00	9.698508e-04
1.900000e+00	1.070180e-03
1.950000e+00	1.194357e-03
2.000000e+00	1.350334e-03
2.050000e+00	1.549338e-03
2.100000e+00	1.807333e-03
2.150000e+00	2.146949e-03
2.200000e+00	2.599463e-03
2.250000e+00	3.204833e-03
2.300000e+00	4.003142e-03
2.350000e+00	5.000823e-03
2.400000e+00	6.088914e-03
2.450000e+00	6.948434e-03
2.500000e+00	7.153883e-03
2.550000e+00	6.582002e-03
2.600000e+00	5.564000e-03
2.650000e+00	4.507554e-03
2.700000e+00	3.618343e-03
2.750000e+00	2.933290e-03
2.800000e+00	2.422117e-03
2.850000e+00	2.042730e-03
2.900000e+00	1.759312e-03
2.950000e+00	1.545202e-03
3.000000e+00	1.381442e-03
3.050000e+00	1.254711e-03
3.100000e+00	1.155619e-03
3.150000e+00	1.077491e-03
3.200000e+00	1.015517e-03
3.250000e+00	9.661908e-04
3.300000e+00	9.269195e-04
3.350000e+00	8.957662e-04
3.400000e+00	8.712673e-04
3.450000e+00	8.523074e-04
3.500000e+00	8.380311e-04
3.550000e+00	8.277799e-04
3.600000e+00	8.210469e-04
3.650000e+00	8.174445e-04
3.700000e+00	8.166799e-04
3.750000e+00	8.185388e-04
3.800000e+00	8.228721e-04
3.850000e+00	8.295880e-04
3.900000e+00	8.386464e-04
3.950000e+00	8.500553e-04
4.000000e+00	8.638708e-04
4.050000e+00	8.801981e-04
4.100000e+00	8.991949e-04
4.150000e+00	9.210781e-04
4.200000e+00	9.461326e-04
4.250000e+00	9.747240e-04
4.300000e+00	1.007316e-03
4.350000e+00	1.044495e-03
4.400000e+00	1.087001e-03
4.450000e+00	1.135772e-03
4.500000e+00	1.192005e-03
4.550000e+00	1.257239e-03
4.600000e+00	1.333471e-03
4.650000e+00	1.423322e-03
4.700000e+00	1.530277e-03
4.750000e+00	1.659026e-03
4.800000e+00	1.815977e-03
4.850000e+00	2.009998e-03
4.900000e+00	2.253523e-03
4.950000e+00	2.564144e-03
5.000000e+00	2.966786e-03
5.050000e+00	3.496188e-03
5.100000e+00	4.198116e-03
5.150000e+00	5.123587e-03
5.200000e+00	6.300628e-03
5.250000e+00	7.656754e-03
5.300000e+00	8.900150e-03
5.350000e+00	9.540008e-03
5.400000e+00	9.281185e-03
5.450000e+00	8.368338e-03
5.500000e+00	7.288946e-03
5.550000e+00	6.358636e-03
5.600000e+00	5.670080e-03
5.650000e+00	5.198718e-03
5.700000e+00	4.886266e-03
5.750000e+00	4.688144e-03
5.800000e+00	4.588893e-03
5.850000e+00	4.587198e-03
5.900000e+00	4.661569e-03
5.950000e+00	4.761044e-03
6.000000e+00	4.848292e-03
6.050000e+00	4.935836e-03
6.100000e+00	5.068039e-03
6.150000e+00	5.276657e-03
6.200000e+00	5.539375e-03
6.250000e+00	5.792180e-03
6.300000e+00	5.997687e-03
6.350000e+00	6.180284e-03
6.400000e+00	6.394029e-03
6.450000e+00	6.680086e-03
6.500000e+00	7.029004e-03
6.550000e+00	7.383794e-03
6.600000e+00	7.698521e-03
6.650000e+00	7.986507e-03
6.700000e+00	8.301360e-03
6.750000e+00	8.688209e-03
6.800000e+00	9.146859e-03
6.850000e+00	9.621847e-03
6.900000e+00	1.005684e-02
6.950000e+00	1.047003e-02
7.000000e+00	1.094742e-02
7.050000e+00	1.155744e-02
7.100000e+00	1.227132e-02
7.150000e+00	1.296098e-02
7.200000e+00	1.354847e-02
7.250000e+00	1.410698e-02
7.300000e+00	1.474524e-02
7.350000e+00	1.544131e-02
7.400000e+00	1.597652e-02
7.450000e+00	1.607229e-02
7.500000e+00	1.570149e-02
7.550000e+00	1.512484e-02
7.600000e+00	1.458579e-02
7.650000e+00	1.413579e-02
7.700000e+00	1.368028e-02
7.750000e+00	1.313484e-02
7.800000e+00	1.255900e-02
7.850000e+00	1.208634e-02
7.900000e+00	1.176401e-02
7.950000e+00	1.153670e-02
8.000000e+00	1.132456e-02
8.050000e+00	1.110941e-02
8.100000e+00	1.095294e-02
8.150000e+00	1.092435e-02
8.200000e+00	1.103681e-02
8.250000e+00	1.124969e-02
8.300000e+00	1.148748e-02
8.350000e+00	1.164711e-02
8.400000e+00	1.162464e-02
8.450000e+00	1.138286e-02
8.500000e+00	1.098932e-02
8.550000e+00	1.054987e-02
8.600000e+00	1.013562e-02
8.650000e+00	9.780733e-03
8.700000e+00	9.519112e-03
8.750000e+00	9.386287e-03
8.800000e+00	9.383915e-03
8.850000e+00	9.473684e-03
8.900000e+00	9.622658e-03
8.950000e+00	9.825001e-03
9.000000e+00	1.006701e-02
9.050000e+00	1.029684e-02
9.100000e+00	1.045794e-02
9.150000e+00	1.054322e-02
