#omega	spectral weight
-1.000000e+01	2.358388e-04
-9.950000e+00	2.374398e-04
-9.900000e+00	2.390586e-04
-9.850000e+00	2.406955e-04
-9.800000e+00	2.423507e-04
-9.750000e+00	2.440246e-04
-9.700000e+00	2.457174e-04
-9.650000e+00	2.474296e-04
-9.600000e+00	2.491613e-04
-9.550000e+00	2.509130e-04
-9.500000e+00	2.526849e-04
-9.450000e+00	2.544775e-04
-9.400000e+00	2.562910e-04
-9.350000e+00	2.581258e-04
-9.300000e+00	2.599823e-04
-9.250000e+00	2.618608e-04
-9.200000e+00	2.637618e-04
-9.150000e+00	2.656856e-04
-9.100000e+00	2.676326e-04
-9.050000e+00	2.696033e-04
-9.000000e+00	2.715980e-04
-8.950000e+00	2.736172e-04
-8.900000e+00	2.756613e-04
-8.850000e+00	2.777308e-04
-8.800000e+00	2.798262e-04
-8.750000e+00	2.819478e-04
-8.700000e+00	2.840963e-04
-8.650000e+00	2.862720e-04
-8.600000e+00	2.884756e-04
-8.550000e+00	2.907074e-04
-8.500000e+00	2.929682e-04
-8.450000e+00	2.952583e-04
-8.400000e+00	2.975784e-04
-8.350000e+00	2.999291e-04
-8.300000e+00	3.023109e-04
-8.250000e+00	3.047245e-04
-8.200000e+00	3.071704e-04
-8.150000e+00	3.096494e-04
-8.100000e+00	3.121621e-04
-8.050000e+00	3.147091e-04
-8.000000e+00	3.172911e-04
-7.950000e+00	3.199089e-04
-7.900000e+00	3.225632e-04
-7.850000e+00	3.252548e-04
-7.800000e+00	3.279843e-04
-7.750000e+00	3.307527e-04
-7.700000e+00	3.335607e-04
-7.650000e+00	3.364093e-04
-7.600000e+00	3.392991e-04
-7.550000e+00	3.422312e-04
-7.500000e+00	3.452064e-04
-7.450000e+00	3.482258e-04
-7.400000e+00	3.512902e-04
-7.350000e+00	3.544007e-04
-7.300000e+00	3.575582e-04
-7.250000e+00	3.607640e-04
-7.200000e+00	3.640190e-04
-7.150000e+00	3.673244e-04
-7.100000e+00	3.706813e-04
-7.050000e+00	3.740910e-04
-7.000000e+00	3.775547e-04
-6.950000e+00	3.810737e-04
-6.900000e+00	3.846492e-04
-6.850000e+00	3.882827e-04
-6.800000e+00	3.919755e-04
-6.750000e+00	3.957292e-04
-6.700000e+00	3.995451e-04
-6.650000e+00	4.034249e-04
-6.600000e+00	4.073701e-04
-6.550000e+00	4.113824e-04
-6.500000e+00	4.154636e-04
-6.450000e+00	4.196153e-04
-6.400000e+00	4.238394e-04
-6.350000e+00	4.281379e-04
-6.300000e+00	4.325126e-04
-6.250000e+00	4.369656e-04
-6.200000e+00	4.414990e-04
-6.150000e+00	4.461151e-04
-6.100000e+00	4.508160e-04
-6.050000e+00	4.556041e-04
-6.000000e+00	4.604818e-04
-5.950000e+00	4.654517e-04
-5.900000e+00	4.705164e-04
-5.850000e+00	4.756786e-04
-5.800000e+00	4.809412e-04
-5.750000e+00	4.863070e-04
-5.700000e+00	4.917791e-04
-5.650000e+00	4.973608e-04
-5.600000e+00	5.030552e-04
-5.550000e+00	5.088660e-04
-5.500000e+00	5.147965e-04
-5.450000e+00	5.208506e-04
-5.400000e+00	5.270321e-04
-5.350000e+00	5.333451e-04
-5.300000e+00	5.397939e-04
-5.250000e+00	5.463827e-04
-5.200000e+00	5.531163e-04
-5.150000e+00	5.599993e-04
-5.100000e+00	5.670369e-04
-5.050000e+00	5.742342e-04
-5.000000e+00	5.815967e-04
-4.950000e+00	5.891302e-04
-4.900000e+00	5.968406e-04
-4.850000e+00	6.047342e-04
-4.800000e+00	6.128177e-04
-4.750000e+00	6.210978e-04
-4.700000e+00	6.295818e-04
-4.650000e+00	6.382772e-04
-4.600000e+00	6.471921e-04
-4.550000e+00	6.563348e-04
-4.500000e+00	6.657140e-04
-4.450000e+00	6.753390e-04
-4.400000e+00	6.852195e-04
-4.350000e+00	6.953657e-04
-4.300000e+00	7.057883e-04
-4.250000e+00	7.164988e-04
-4.200000e+00	7.275091e-04
-4.150000e+00	7.388318e-04
-4.100000e+00	7.504803e-04
-4.050000e+00	7.624686e-04
-4.000000e+00	7.748117e-04
-3.950000e+00	7.875253e-04
-3.900000e+00	8.006262e-04
-3.850000e+00	8.141320e-04
-3.800000e+00	8.280615e-04
-3.750000e+00	8.424347e-04
-3.700000e+00	8.572728e-04
-3.650000e+00	8.725982e-04
-3.600000e+00	8.884348e-04
-3.550000e+00	9.048084e-04
-3.500000e+00	9.217459e-04
-3.450000e+00	9.392764e-04
-3.400000e+00	9.574310e-04
-3.350000e+00	9.762428e-04
-3.300000e+00	9.957471e-04
-3.250000e+00	1.015982e-03
-3.200000e+00	1.036988e-03
-3.150000e+00	1.058809e-03
-3.100000e+00	1.081492e-03
-3.050000e+00	1.105088e-03
-3.000000e+00	1.129650e-03
-2.950000e+00	1.155238e-03
-2.900000e+00	1.181914e-03
-2.850000e+00	1.209748e-03
-2.800000e+00	1.238813e-03
-2.750000e+00	1.269190e-03
-2.700000e+00	1.300965e-03
-2.650000e+00	1.334235e-03
-2.600000e+00	1.369101e-03
-2.550000e+00	1.405676e-03
-2.500000e+00	1.444084e-03
-2.450000e+00	1.484459e-03
-2.400000e+00	1.526948e-03
-2.350000e+00	1.571713e-03
-2.300000e+00	1.618931e-03
-2.250000e+00	1.668799e-03
-2.200000e+00	1.721534e-03
-2.150000e+00	1.777375e-03
-2.100000e+00	1.836588e-03
-2.050000e+00	1.899468e-03
-2.000000e+00	1.966344e-03
-1.950000e+00	2.037584e-03
-1.900000e+00	2.113600e-03
-1.850000e+00	2.194854e-03
-1.800000e+00	2.281866e-03
-1.750000e+00	2.375225e-03
-1.700000e+00	2.475597e-03
-1.650000e+00	2.583738e-03
-1.600000e+00	2.700514e-03
-1.550000e+00	2.826912e-03
-1.500000e+00	2.964069e-03
-1.450000e+00	3.113296e-03
-1.400000e+00	3.276113e-03
-1.350000e+00	3.454289e-03
-1.300000e+00	3.649892e-03
-1.250000e+00	3.865355e-03
-1.200000e+00	4.103553e-03
-1.150000e+00	4.367906e-03
-1.100000e+00	4.662504e-03
-1.050000e+00	4.992272e-03
-1.000000e+00	5.363185e-03
-9.500000e-01	5.782546e-03
-9.000000e-01	6.259353e-03
-8.500000e-01	6.804791e-03
-8.000000e-01	7.432900e-03
-7.500000e-01	8.161480e-03
-7.000000e-01	9.013349e-03
-6.500000e-01	1.001811e-02
