#omega	spectral weight
-1.000000e+01	1.003967e-03
-9.950000e+00	1.013641e-03
-9.900000e+00	1.023460e-03
-9.850000e+00	1.033429e-03
-9.800000e+00	1.043550e-03
-9.750000e+00	1.053826e-03
-9.700000e+00	1.064260e-03
-9.650000e+00	1.074857e-03
-9.600000e+00	1.085619e-03
-9.550000e+00	1.096551e-03
-9.500000e+00	1.107655e-03
-9.450000e+00	1.118935e-03
-9.400000e+00	1.130396e-03
-9.350000e+00	1.142041e-03
-9.300000e+00	1.153875e-03
-9.250000e+00	1.165901e-03
-9.200000e+00	1.178124e-03
-9.150000e+00	1.190549e-03
-9.100000e+00	1.203180e-03
-9.050000e+00	1.216022e-03
-9.000000e+00	1.229079e-03
-8.950000e+00	1.242356e-03
-8.900000e+00	1.255860e-03
-8.850000e+00	1.269595e-03
-8.800000e+00	1.283566e-03
-8.750000e+00	1.297779e-03
-8.700000e+00	1.312241e-03
-8.650000e+00	1.326956e-03
-8.600000e+00	1.341932e-03
-8.550000e+00	1.357174e-03
-8.500000e+00	1.372689e-03
-8.450000e+00	1.388484e-03
-8.400000e+00	1.404566e-03
-8.350000e+00	1.420942e-03
-8.300000e+00	1.437619e-03
-8.250000e+00	1.454606e-03
-8.200000e+00	1.471910e-03
-8.150000e+00	1.489539e-03
-8.100000e+00	1.507502e-03
-8.050000e+00	1.525807e-03
-8.000000e+00	1.544464e-03
-7.950000e+00	1.563483e-03
-7.900000e+00	1.582871e-03
-7.850000e+00	1.602641e-03
-7.800000e+00	1.622801e-03
-7.750000e+00	1.643364e-03
-7.700000e+00	1.664339e-03
-7.650000e+00	1.685738e-03
-7.600000e+00	1.707574e-03
-7.550000e+00	1.729858e-03
-7.500000e+00	1.752604e-03
-7.450000e+00	1.775824e-03
-7.400000e+00	1.799533e-03
-7.350000e+00	1.823745e-03
-7.300000e+00	1.848473e-03
-7.250000e+00	1.873735e-03
-7.200000e+00	1.899545e-03
-7.150000e+00	1.925921e-03
-7.100000e+00	1.952879e-03
-7.050000e+00	1.980437e-03
-7.000000e+00	2.008614e-03
-6.950000e+00	2.037429e-03
-6.900000e+00	2.066903e-03
-6.850000e+00	2.097055e-03
-6.800000e+00	2.127908e-03
-6.750000e+00	2.159485e-03
-6.700000e+00	2.191809e-03
-6.650000e+00	2.224904e-03
-6.600000e+00	2.258797e-03
-6.550000e+00	2.293513e-03
-6.500000e+00	2.329082e-03
-6.450000e+00	2.365530e-03
-6.400000e+00	2.402890e-03
-6.350000e+00	2.441193e-03
-6.300000e+00	2.480471e-03
-6.250000e+00	2.520759e-03
-6.200000e+00	2.562094e-03
-6.150000e+00	2.604513e-03
-6.100000e+00	2.648056e-03
-6.050000e+00	2.692764e-03
-6.000000e+00	2.738680e-03
-5.950000e+00	2.785851e-03
-5.900000e+00	2.834322e-03
-5.850000e+00	2.884145e-03
-5.800000e+00	2.935372e-03
-5.750000e+00	2.988058e-03
-5.700000e+00	3.042260e-03
-5.650000e+00	3.098040e-03
-5.600000e+00	3.155461e-03
-5.550000e+00	3.214590e-03
-5.500000e+00	3.275498e-03
-5.450000e+00	3.338259e-03
-5.400000e+00	3.402952e-03
-5.350000e+00	3.469660e-03
-5.300000e+00	3.538469e-03
-5.250000e+00	3.609473e-03
-5.200000e+00	3.682767e-03
-5.150000e+00	3.758456e-03
-5.100000e+00	3.836647e-03
-5.050000e+00	3.917456e-03
-5.000000e+00	4.001005e-03
-4.950000e+00	4.087422e-03
-4.900000e+00	4.176845e-03
-4.850000e+00	4.269420e-03
-4.800000e+00	4.365300e-03
-4.750000e+00	4.464649e-03
-4.700000e+00	4.567643e-03
-4.650000e+00	4.674467e-03
-4.600000e+00	4.785319e-03
-4.550000e+00	4.900410e-03
-4.500000e+00	5.019965e-03
-4.450000e+00	5.144226e-03
-4.400000e+00	5.273449e-03
-4.350000e+00	5.407910e-03
-4.300000e+00	5.547903e-03
-4.250000e+00	5.693746e-03
-4.200000e+00	5.845777e-03
-4.150000e+00	6.004362e-03
-4.100000e+00	6.169892e-03
-4.050000e+00	6.342791e-03
-4.000000e+00	6.523513e-03
-3.950000e+00	6.712551e-03
-3.900000e+00	6.910434e-03
-3.850000e+00	7.117739e-03
-3.800000e+00	7.335087e-03
-3.750000e+00	7.563153e-03
-3.700000e+00	7.802672e-03
-3.650000e+00	8.054441e-03
-3.600000e+00	8.319330e-03
-3.550000e+00	8.598285e-03
-3.500000e+00	8.892345e-03
-3.450000e+00	9.202642e-03
-3.400000e+00	9.530419e-03
-3.350000e+00	9.877043e-03
-3.300000e+00	1.024401e-02
-3.250000e+00	1.063299e-02
-3.200000e+00	1.104580e-02
-3.150000e+00	1.148446e-02
-3.100000e+00	1.195122e-02
-3.050000e+00	1.244858e-02
-3.000000e+00	1.297930e-02
-2.950000e+00	1.354650e-02
-2.900000e+00	1.415363e-02
-2.850000e+00	1.480461e-02
-2.800000e+00	1.550380e-02
-2.750000e+00	1.625616e-02
-2.700000e+00	1.706727e-02
-2.650000e+00	1.794351e-02
-2.600000e+00	1.889209e-02
-2.550000e+00	1.992130e-02
-2.500000e+00	2.104061e-02
-2.450000e+00	2.226096e-02
-2.400000e+00	2.359495e-02
-2.350000e+00	2.505726e-02
-2.300000e+00	2.666495e-02
-2.250000e+00	2.843806e-02
-2.200000e+00	3.040014e-02
-2.150000e+00	3.257910e-02
-2.100000e+00	3.500814e-02
-2.050000e+00	3.772703e-02
-2.000000e+00	4.078369e-02
-1.950000e+00	4.423628e-02
-1.900000e+00	4.815590e-02
-1.850000e+00	5.263012e-02
-1.800000e+00	5.776778e-02
-1.750000e+00	6.370529e-02
-1.700000e+00	7.061535e-02
-1.650000e+00	7.871883e-02
-1.600000e+00	8.830141e-02
-1.550000e+00	9.973701e-02
-1.500000e+00	1.135213e-01
-1.450000e+00	1.303200e-01
-1.400000e+00	1.510402e-01
-1.350000e+00	1.769345e-01
-1.300000e+00	2.097560e-01
-1.250000e+00	2.519854e-01
-1.200000e+00	3.071519e-01
-1.150000e+00	3.802432e-01
-1.100000e+00	4.780782e-01
-1.050000e+00	6.090930e-01
-1.000000e+00	7.808341e-01
-9.500000e-01	9.912122e-01
-9.000000e-01	1.209622e+00
-8.500000e-01	1.361563e+00
-8.000000e-01	1.365705e+00
-7.500000e-01	1.219526e+00
-7.000000e-01	1.002453e+00
-6.500000e-01	7.908183e-01
-6.000000e-01	6.171851e-01
-5.500000e-01	4.845115e-01
-5.000000e-01	3.854445e-01
-4.500000e-01	3.115031e-01
-4.000000e-01	2.557769e-01
-3.500000e-01	2.131969e-01
-3.000000e-01	1.801740e-01
-2.500000e-01	1.541856e-01
-2.000000e-01	1.334501e-01
-1.500000e-01	1.166955e-01
-1.000000e-01	1.030019e-01
-5.000000e-02	9.169479e-02
1.421085e-13	8.227286e-02
5.000000e-02	7.435869e-02
1.000000e-01	6.766466e-02
1.500000e-01	6.196921e-02
2.000000e-01	5.709999e-02
2.500000e-01	5.292185e-02
3.000000e-01	4.932812e-02
3.500000e-01	4.623434e-02
4.000000e-01	4.357360e-02
4.500000e-01	4.129320e-02
5.000000e-01	3.935229e-02
5.500000e-01	3.772019e-02
6.000000e-01	3.637550e-02
6.500000e-01	3.530566e-02
7.000000e-01	3.450719e-02
7.500000e-01	3.398637e-02
8.000000e-01	3.376106e-02
8.500000e-01	3.386411e-02
9.000000e-01	3.434713e-02
9.500000e-01	3.527874e-02
1.000000e+00	3.673015e-02
1.050000e+00	3.874723e-02
1.100000e+00	4.134337e-02
1.150000e+00	4.456104e-02
1.200000e+00	4.846739e-02
1.250000e+00	5.292562e-02
1.300000e+00	5.752687e-02
1.350000e+00	6.204203e-02
1.400000e+00	6.673014e-02
1.450000e+00	7.178758e-02
1.500000e+00	7.652233e-02
1.550000e+00	7.975864e-02
1.600000e+00	8.135187e-02
1.650000e+00	8.231321e-02
1.700000e+00	8.366812e-02
1.750000e+00	8.579283e-02
1.800000e+00	8.830396e-02
1.850000e+00	9.057161e-02
1.900000e+00	9.247340e-02
1.950000e+00	9.464241e-02
2.000000e+00	9.769662e-02
2.050000e+00	1.012898e-01
2.100000e+00	1.041838e-01
2.150000e+00	1.054547e-01
2.200000e+00	1.057151e-01
2.250000e+00	1.061947e-01
2.300000e+00	1.070702e-01
2.350000e+00	1.075106e-01
2.400000e+00	1.065801e-01
2.450000e+00	1.042938e-01
2.500000e+00	1.020568e-01
2.550000e+00	1.015779e-01
2.600000e+00	1.036672e-01
2.650000e+00	1.081339e-01
2.700000e+00	1.149540e-01
2.750000e+00	1.253257e-01
2.800000e+00	1.408727e-01
2.850000e+00	1.617426e-01
2.900000e+00	1.845816e-01
2.950000e+00	2.014804e-01
3.000000e+00	2.036787e-01
3.050000e+00	1.900275e-01
3.100000e+00	1.686250e-01
3.150000e+00	1.484095e-01
3.200000e+00	1.336015e-01
3.250000e+00	1.243438e-01
3.300000e+00	1.187470e-01
3.350000e+00	1.149404e-01
3.400000e+00	1.127503e-01
3.450000e+00	1.131761e-01
3.500000e+00	1.164878e-01
3.550000e+00	1.212347e-01
3.600000e+00	1.250502e-01
3.650000e+00	1.271532e-01
3.700000e+00	1.292780e-01
3.750000e+00	1.332410e-01
3.800000e+00	1.390614e-01
3.850000e+00	1.457432e-01
3.900000e+00	1.531831e-01
3.950000e+00	1.631093e-01
4.000000e+00	1.778035e-01
4.050000e+00	1.975373e-01
4.100000e+00	2.187116e-01
4.150000e+00	2.349234e-01
4.200000e+00	2.420444e-01
4.250000e+00	2.422165e-01
4.300000e+00	2.414088e-01
4.350000e+00	2.434050e-01
4.400000e+00	2.480155e-01
4.450000e+00	2.553212e-01
4.500000e+00	2.681275e-01
4.550000e+00	2.882227e-01
4.600000e+00	3.125302e-01
4.650000e+00	3.350786e-01
4.700000e+00	3.545886e-01
4.750000e+00	3.777924e-01
4.800000e+00	4.123437e-01
4.850000e+00	4.587087e-01
4.900000e+00	5.097932e-01
4.950000e+00	5.592239e-01
5.000000e+00	6.051800e-01
5.050000e+00	6.378797e-01
5.100000e+00	6.354409e-01
5.150000e+00	5.882556e-01
5.200000e+00	5.136711e-01
5.250000e+00	4.347369e-01
5.300000e+00	3.631442e-01
5.350000e+00	3.028500e-01
5.400000e+00	2.551753e-01
5.450000e+00	2.196443e-01
5.500000e+00	1.945702e-01
5.550000e+00	1.782137e-01
5.600000e+00	1.695991e-01
5.650000e+00	1.685210e-01
5.700000e+00	1.749029e-01
5.750000e+00	1.876219e-01
5.800000e+00	2.026679e-01
5.850000e+00	2.122582e-01
5.900000e+00	2.088664e-01
5.950000e+00	1.920808e-01
6.000000e+00	1.684383e-01
6.050000e+00	1.448588e-01
6.100000e+00	1.247503e-01
