#omega	spectral weight
-5.000000e+00	3.179160e-05
-4.997500e+00	3.181241e-05
-4.995000e+00	3.183324e-05
-4.992500e+00	3.185410e-05
-4.990000e+00	3.187498e-05
-4.987500e+00	3.189589e-05
-4.985000e+00	3.191682e-05
-4.982500e+00	3.193778e-05
-4.980000e+00	3.195875e-05
-4.977500e+00	3.197976e-05
-4.975000e+00	3.200079e-05
-4.972500e+00	3.202184e-05
-4.970000e+00	3.204291e-05
-4.967500e+00	3.206401e-05
-4.965000e+00	3.208514e-05
-4.962500e+00	3.210629e-05
-4.960000e+00	3.212746e-05
-4.957500e+00	3.214866e-05
-4.955000e+00	3.216989e-05
-4.952500e+00	3.219113e-05
-4.950000e+00	3.221241e-05
-4.947500e+00	3.223370e-05
-4.945000e+00	3.225503e-05
-4.942500e+00	3.227637e-05
-4.940000e+00	3.229775e-05
-4.937500e+00	3.231914e-05
-4.935000e+00	3.234056e-05
-4.932500e+00	3.236201e-05
-4.930000e+00	3.238348e-05
-4.927500e+00	3.240498e-05
-4.925000e+00	3.242650e-05
-4.922500e+00	3.244805e-05
-4.920000e+00	3.246962e-05
-4.917500e+00	3.249122e-05
-4.915000e+00	3.251284e-05
-4.912500e+00	3.253449e-05
-4.910000e+00	3.255616e-05
-4.907500e+00	3.257786e-05
-4.905000e+00	3.259959e-05
-4.902500e+00	3.262134e-05
-4.900000e+00	3.264311e-05
-4.897500e+00	3.266491e-05
-4.895000e+00	3.268674e-05
-4.892500e+00	3.270859e-05
-4.890000e+00	3.273047e-05
-4.887500e+00	3.275238e-05
-4.885000e+00	3.277431e-05
-4.882500e+00	3.279626e-05
-4.880000e+00	3.281824e-05
-4.877500e+00	3.284025e-05
-4.875000e+00	3.286229e-05
-4.872500e+00	3.288435e-05
-4.870000e+00	3.290643e-05
-4.867500e+00	3.292854e-05
-4.865000e+00	3.295068e-05
-4.862500e+00	3.297285e-05
-4.860000e+00	3.299504e-05
-4.857500e+00	3.301725e-05
-4.855000e+00	3.303950e-05
-4.852500e+00	3.306177e-05
-4.850000e+00	3.308406e-05
-4.847500e+00	3.310639e-05
-4.845000e+00	3.312873e-05
-4.842500e+00	3.315111e-05
-4.840000e+00	3.317351e-05
-4.837500e+00	3.319594e-05
-4.835000e+00	3.321840e-05
-4.832500e+00	3.324088e-05
-4.830000e+00	3.326339e-05
-4.827500e+00	3.328593e-05
-4.825000e+00	3.330849e-05
-4.822500e+00	3.333108e-05
-4.820000e+00	3.335370e-05
-4.817500e+00	3.337634e-05
-4.815000e+00	3.339902e-05
-4.812500e+00	3.342171e-05
-4.810000e+00	3.344444e-05
-4.807500e+00	3.346719e-05
-4.805000e+00	3.348997e-05
-4.802500e+00	3.351278e-05
-4.800000e+00	3.353562e-05
-4.797500e+00	3.355848e-05
-4.795000e+00	3.358137e-05
-4.792500e+00	3.360429e-05
-4.790000e+00	3.362724e-05
-4.787500e+00	3.365021e-05
-4.785000e+00	3.367321e-05
-4.782500e+00	3.369624e-05
-4.780000e+00	3.371929e-05
-4.777500e+00	3.374238e-05
-4.775000e+00	3.376549e-05
-4.772500e+00	3.378863e-05
-4.770000e+00	3.381180e-05
-4.767500e+00	3.383500e-05
-4.765000e+00	3.385822e-05
-4.762500e+00	3.388147e-05
-4.760000e+00	3.390475e-05
-4.757500e+00	3.392806e-05
-4.755000e+00	3.395140e-05
-4.752500e+00	3.397477e-05
-4.750000e+00	3.399816e-05
-4.747500e+00	3.402158e-05
-4.745000e+00	3.404503e-05
-4.742500e+00	3.406851e-05
-4.740000e+00	3.409202e-05
-4.737500e+00	3.411556e-05
-4.735000e+00	3.413913e-05
-4.732500e+00	3.416272e-05
-4.730000e+00	3.418634e-05
-4.727500e+00	3.420999e-05
-4.725000e+00	3.423368e-05
-4.722500e+00	3.425739e-05
-4.720000e+00	3.428113e-05
-4.717500e+00	3.430489e-05
-4.715000e+00	3.432869e-05
-4.712500e+00	3.435252e-05
-4.710000e+00	3.437637e-05
-4.707500e+00	3.440026e-05
-4.705000e+00	3.442417e-05
-4.702500e+00	3.444812e-05
-4.700000e+00	3.447209e-05
-4.697500e+00	3.449609e-05
-4.695000e+00	3.452012e-05
-4.692500e+00	3.454419e-05
-4.690000e+00	3.456828e-05
-4.687500e+00	3.459240e-05
-4.685000e+00	3.461655e-05
-4.682500e+00	3.464073e-05
-4.680000e+00	3.466494e-05
-4.677500e+00	3.468918e-05
-4.675000e+00	3.471345e-05
-4.672500e+00	3.473775e-05
-4.670000e+00	3.476209e-05
-4.667500e+00	3.478645e-05
-4.665000e+00	3.481084e-05
-4.662500e+00	3.483526e-05
-4.660000e+00	3.485971e-05
-4.657500e+00	3.488419e-05
-4.655000e+00	3.490871e-05
-4.652500e+00	3.493325e-05
-4.650000e+00	3.495782e-05
-4.647500e+00	3.498243e-05
-4.645000e+00	3.500706e-05
-4.642500e+00	3.503173e-05
-4.640000e+00	3.505642e-05
-4.637500e+00	3.508115e-05
-4.635000e+00	3.510591e-05
-4.632500e+00	3.513070e-05
-4.630000e+00	3.515552e-05
-4.627500e+00	3.518037e-05
-4.625000e+00	3.520525e-05
-4.622500e+00	3.523017e-05
-4.620000e+00	3.525511e-05
-4.617500e+00	3.528009e-05
-4.615000e+00	3.530509e-05
-4.612500e+00	3.533013e-05
-4.610000e+00	3.535520e-05
-4.607500e+00	3.538030e-05
-4.605000e+00	3.540544e-05
-4.602500e+00	3.543060e-05
-4.600000e+00	3.545580e-05
-4.597500e+00	3.548103e-05
-4.595000e+00	3.550629e-05
-4.592500e+00	3.553158e-05
-4.590000e+00	3.555690e-05
-4.587500e+00	3.558226e-05
-4.585000e+00	3.560765e-05
-4.582500e+00	3.563307e-05
-4.580000e+00	3.565852e-05
-4.577500e+00	3.568400e-05
-4.575000e+00	3.570952e-05
-4.572500e+00	3.573507e-05
-4.570000e+00	3.576065e-05
-4.567500e+00	3.578627e-05
-4.565000e+00	3.581191e-05
-4.562500e+00	3.583759e-05
-4.560000e+00	3.586330e-05
-4.557500e+00	3.588905e-05
-4.555000e+00	3.591483e-05
-4.552500e+00	3.594064e-05
-4.550000e+00	3.596648e-05
-4.547500e+00	3.599236e-05
-4.545000e+00	3.601827e-05
-4.542500e+00	3.604421e-05
-4.540000e+00	3.607018e-05
-4.537500e+00	3.609619e-05
-4.535000e+00	3.612223e-05
-4.532500e+00	3.614831e-05
-4.530000e+00	3.617442e-05
-4.527500e+00	3.620056e-05
-4.525000e+00	3.622673e-05
-4.522500e+00	3.625294e-05
-4.520000e+00	3.627919e-05
-4.517500e+00	3.630546e-05
-4.515000e+00	3.633177e-05
-4.512500e+00	3.635812e-05
-4.510000e+00	3.638450e-05
-4.507500e+00	3.641091e-05
-4.505000e+00	3.643735e-05
-4.502500e+00	3.646383e-05
-4.500000e+00	3.649035e-05
-4.497500e+00	3.651690e-05
-4.495000e+00	3.654348e-05
-4.492500e+00	3.657010e-05
-4.490000e+00	3.659675e-05
-4.487500e+00	3.662343e-05
-4.485000e+00	3.665016e-05
-4.482500e+00	3.667691e-05
-4.480000e+00	3.670370e-05
-4.477500e+00	3.673053e-05
-4.475000e+00	3.675739e-05
-4.472500e+00	3.678428e-05
-4.470000e+00	3.681121e-05
-4.467500e+00	3.683817e-05
-4.465000e+00	3.686517e-05
-4.462500e+00	3.689221e-05
-4.460000e+00	3.691928e-05
-4.457500e+00	3.694638e-05
-4.455000e+00	3.697352e-05
-4.452500e+00	3.700070e-05
-4.450000e+00	3.702791e-05
-4.447500e+00	3.705516e-05
-4.445000e+00	3.708244e-05
-4.442500e+00	3.710976e-05
-4.440000e+00	3.713712e-05
-4.437500e+00	3.716451e-05
-4.435000e+00	3.719193e-05
-4.432500e+00	3.721939e-05
-4.430000e+00	3.724689e-05
-4.427500e+00	3.727443e-05
-4.425000e+00	3.730200e-05
-4.422500e+00	3.732960e-05
-4.420000e+00	3.735725e-05
-4.417500e+00	3.738493e-05
-4.415000e+00	3.741264e-05
-4.412500e+00	3.744039e-05
-4.410000e+00	3.746818e-05
-4.407500e+00	3.749601e-05
-4.405000e+00	3.752387e-05
-4.402500e+00	3.755177e-05
-4.400000e+00	3.757971e-05
-4.397500e+00	3.760768e-05
-4.395000e+00	3.763569e-05
-4.392500e+00	3.766374e-05
-4.390000e+00	3.769182e-05
-4.387500e+00	3.771995e-05
-4.385000e+00	3.774810e-05
-4.382500e+00	3.777630e-05
-4.380000e+00	3.780453e-05
-4.377500e+00	3.783281e-05
-4.375000e+00	3.786112e-05
-4.372500e+00	3.788946e-05
-4.370000e+00	3.791785e-05
-4.367500e+00	3.794627e-05
-4.365000e+00	3.797473e-05
-4.362500e+00	3.800323e-05
-4.360000e+00	3.803177e-05
-4.357500e+00	3.806034e-05
-4.355000e+00	3.808895e-05
-4.352500e+00	3.811761e-05
-4.350000e+00	3.814629e-05
-4.347500e+00	3.817502e-05
-4.345000e+00	3.820379e-05
-4.342500e+00	3.823260e-05
-4.340000e+00	3.826144e-05
-4.337500e+00	3.829032e-05
-4.335000e+00	3.831924e-05
-4.332500e+00	3.834820e-05
-4.330000e+00	3.837720e-05
-4.327500e+00	3.840624e-05
-4.325000e+00	3.843532e-05
-4.322500e+00	3.846444e-05
-4.320000e+00	3.849359e-05
-4.317500e+00	3.852279e-05
-4.315000e+00	3.855202e-05
-4.312500e+00	3.858130e-05
-4.310000e+00	3.861061e-05
-4.307500e+00	3.863997e-05
-4.305000e+00	3.866936e-05
-4.302500e+00	3.869879e-05
-4.300000e+00	3.872827e-05
