#omega	spectral weight
-1.000000e+01	3.420525e-04
-9.950000e+00	3.448014e-04
-9.900000e+00	3.475854e-04
-9.850000e+00	3.504051e-04
-9.800000e+00	3.532611e-04
-9.750000e+00	3.561542e-04
-9.700000e+00	3.590848e-04
-9.650000e+00	3.620539e-04
-9.600000e+00	3.650620e-04
-9.550000e+00	3.681098e-04
-9.500000e+00	3.711982e-04
-9.450000e+00	3.743278e-04
-9.400000e+00	3.774994e-04
-9.350000e+00	3.807139e-04
-9.300000e+00	3.839720e-04
-9.250000e+00	3.872745e-04
-9.200000e+00	3.906224e-04
-9.150000e+00	3.940164e-04
-9.100000e+00	3.974575e-04
-9.050000e+00	4.009466e-04
-9.000000e+00	4.044847e-04
-8.950000e+00	4.080726e-04
-8.900000e+00	4.117114e-04
-8.850000e+00	4.154021e-04
-8.800000e+00	4.191458e-04
-8.750000e+00	4.229434e-04
-8.700000e+00	4.267961e-04
-8.650000e+00	4.307050e-04
-8.600000e+00	4.346713e-04
-8.550000e+00	4.386962e-04
-8.500000e+00	4.427808e-04
-8.450000e+00	4.469264e-04
-8.400000e+00	4.511343e-04
-8.350000e+00	4.554058e-04
-8.300000e+00	4.597422e-04
-8.250000e+00	4.641450e-04
-8.200000e+00	4.686156e-04
-8.150000e+00	4.731554e-04
-8.100000e+00	4.777660e-04
-8.050000e+00	4.824488e-04
-8.000000e+00	4.872056e-04
-7.950000e+00	4.920379e-04
-7.900000e+00	4.969474e-04
-7.850000e+00	5.019359e-04
-7.800000e+00	5.070052e-04
-7.750000e+00	5.121570e-04
-7.700000e+00	5.173933e-04
-7.650000e+00	5.227161e-04
-7.600000e+00	5.281274e-04
-7.550000e+00	5.336291e-04
-7.500000e+00	5.392235e-04
-7.450000e+00	5.449128e-04
-7.400000e+00	5.506993e-04
-7.350000e+00	5.565852e-04
-7.300000e+00	5.625729e-04
-7.250000e+00	5.686651e-04
-7.200000e+00	5.748642e-04
-7.150000e+00	5.811728e-04
-7.100000e+00	5.875938e-04
-7.050000e+00	5.941300e-04
-7.000000e+00	6.007842e-04
-6.950000e+00	6.075595e-04
-6.900000e+00	6.144589e-04
-6.850000e+00	6.214858e-04
-6.800000e+00	6.286433e-04
-6.750000e+00	6.359351e-04
-6.700000e+00	6.433645e-04
-6.650000e+00	6.509353e-04
-6.600000e+00	6.586513e-04
