#omega	spectral weight
-1.000000e+01	2.483266e-04
-9.950000e+00	2.499975e-04
-9.900000e+00	2.516860e-04
-9.850000e+00	2.533924e-04
-9.800000e+00	2.551170e-04
-9.750000e+00	2.568600e-04
-9.700000e+00	2.586217e-04
-9.650000e+00	2.604023e-04
-9.600000e+00	2.622022e-04
-9.550000e+00	2.640216e-04
-9.500000e+00	2.658609e-04
-9.450000e+00	2.677202e-04
-9.400000e+00	2.696001e-04
-9.350000e+00	2.715006e-04
-9.300000e+00	2.734223e-04
-9.250000e+00	2.753653e-04
-9.200000e+00	2.773300e-04
-9.150000e+00	2.793168e-04
-9.100000e+00	2.813260e-04
-9.050000e+00	2.833580e-04
-9.000000e+00	2.854130e-04
-8.950000e+00	2.874916e-04
-8.900000e+00	2.895939e-04
-8.850000e+00	2.917205e-04
-8.800000e+00	2.938717e-04
-8.750000e+00	2.960479e-04
-8.700000e+00	2.982496e-04
-8.650000e+00	3.004770e-04
-8.600000e+00	3.027307e-04
-8.550000e+00	3.050110e-04
-8.500000e+00	3.073185e-04
-8.450000e+00	3.096535e-04
-8.400000e+00	3.120165e-04
-8.350000e+00	3.144081e-04
-8.300000e+00	3.168285e-04
-8.250000e+00	3.192785e-04
-8.200000e+00	3.217583e-04
-8.150000e+00	3.242687e-04
-8.100000e+00	3.268100e-04
-8.050000e+00	3.293828e-04
-8.000000e+00	3.319877e-04
-7.950000e+00	3.346251e-04
-7.900000e+00	3.372958e-04
-7.850000e+00	3.400002e-04
-7.800000e+00	3.427389e-04
-7.750000e+00	3.455126e-04
-7.700000e+00	3.483219e-04
-7.650000e+00	3.511674e-04
-7.600000e+00	3.540497e-04
-7.550000e+00	3.569696e-04
-7.500000e+00	3.599277e-04
-7.450000e+00	3.629247e-04
-7.400000e+00	3.659613e-04
-7.350000e+00	3.690383e-04
-7.300000e+00	3.721564e-04
-7.250000e+00	3.753163e-04
-7.200000e+00	3.785189e-04
-7.150000e+00	3.817649e-04
-7.100000e+00	3.850552e-04
-7.050000e+00	3.883906e-04
-7.000000e+00	3.917720e-04
-6.950000e+00	3.952003e-04
-6.900000e+00	3.986763e-04
-6.850000e+00	4.022010e-04
-6.800000e+00	4.057754e-04
-6.750000e+00	4.094004e-04
-6.700000e+00	4.130770e-04
-6.650000e+00	4.168063e-04
-6.600000e+00	4.205893e-04
-6.550000e+00	4.244271e-04
-6.500000e+00	4.283207e-04
-6.450000e+00	4.322714e-04
-6.400000e+00	4.362803e-04
-6.350000e+00	4.403487e-04
-6.300000e+00	4.444776e-04
-6.250000e+00	4.486684e-04
-6.200000e+00	4.529225e-04
-6.150000e+00	4.572410e-04
-6.100000e+00	4.616255e-04
-6.050000e+00	4.660772e-04
-6.000000e+00	4.705977e-04
-5.950000e+00	4.751884e-04
-5.900000e+00	4.798509e-04
-5.850000e+00	4.845867e-04
-5.800000e+00	4.893974e-04
-5.750000e+00	4.942848e-04
-5.700000e+00	4.992504e-04
-5.650000e+00	5.042962e-04
-5.600000e+00	5.094238e-04
-5.550000e+00	5.146351e-04
-5.500000e+00	5.199321e-04
-5.450000e+00	5.253167e-04
-5.400000e+00	5.307909e-04
-5.350000e+00	5.363569e-04
-5.300000e+00	5.420168e-04
-5.250000e+00	5.477728e-04
-5.200000e+00	5.536272e-04
-5.150000e+00	5.595824e-04
-5.100000e+00	5.656407e-04
-5.050000e+00	5.718048e-04
-5.000000e+00	5.780772e-04
-4.950000e+00	5.844605e-04
-4.900000e+00	5.909575e-04
-4.850000e+00	5.975710e-04
-4.800000e+00	6.043040e-04
-4.750000e+00	6.111596e-04
-4.700000e+00	6.181408e-04
-4.650000e+00	6.252508e-04
-4.600000e+00	6.324930e-04
-4.550000e+00	6.398709e-04
-4.500000e+00	6.473880e-04
-4.450000e+00	6.550480e-04
-4.400000e+00	6.628547e-04
-4.350000e+00	6.708120e-04
-4.300000e+00	6.789241e-04
-4.250000e+00	6.871952e-04
-4.200000e+00	6.956296e-04
-4.150000e+00	7.042318e-04
-4.100000e+00	7.130066e-04
-4.050000e+00	7.219588e-04
-4.000000e+00	7.310935e-04
-3.950000e+00	7.404158e-04
-3.900000e+00	7.499312e-04
-3.850000e+00	7.596452e-04
-3.800000e+00	7.695639e-04
-3.750000e+00	7.796930e-04
-3.700000e+00	7.900390e-04
-3.650000e+00	8.006084e-04
-3.600000e+00	8.114079e-04
-3.550000e+00	8.224446e-04
-3.500000e+00	8.337258e-04
-3.450000e+00	8.452590e-04
-3.400000e+00	8.570523e-04
-3.350000e+00	8.691137e-04
-3.300000e+00	8.814520e-04
-3.250000e+00	8.940760e-04
-3.200000e+00	9.069951e-04
-3.150000e+00	9.202188e-04
-3.100000e+00	9.337573e-04
-3.050000e+00	9.476211e-04
-3.000000e+00	9.618211e-04
-2.950000e+00	9.763690e-04
-2.900000e+00	9.912765e-04
-2.850000e+00	1.006556e-03
-2.800000e+00	1.022221e-03
-2.750000e+00	1.038285e-03
-2.700000e+00	1.054762e-03
-2.650000e+00	1.071667e-03
-2.600000e+00	1.089015e-03
-2.550000e+00	1.106824e-03
-2.500000e+00	1.125109e-03
-2.450000e+00	1.143890e-03
-2.400000e+00	1.163184e-03
-2.350000e+00	1.183012e-03
-2.300000e+00	1.203394e-03
-2.250000e+00	1.224352e-03
-2.200000e+00	1.245909e-03
-2.150000e+00	1.268089e-03
-2.100000e+00	1.290916e-03
-2.050000e+00	1.314418e-03
-2.000000e+00	1.338623e-03
-1.950000e+00	1.363559e-03
-1.900000e+00	1.389259e-03
-1.850000e+00	1.415754e-03
-1.800000e+00	1.443079e-03
-1.750000e+00	1.471271e-03
-1.700000e+00	1.500368e-03
-1.650000e+00	1.530410e-03
-1.600000e+00	1.561441e-03
-1.550000e+00	1.593507e-03
-1.500000e+00	1.626655e-03
-1.450000e+00	1.660937e-03
-1.400000e+00	1.696407e-03
-1.350000e+00	1.733122e-03
-1.300000e+00	1.771144e-03
-1.250000e+00	1.810537e-03
-1.200000e+00	1.851372e-03
-1.150000e+00	1.893720e-03
-1.100000e+00	1.937662e-03
-1.050000e+00	1.983280e-03
-1.000000e+00	2.030665e-03
-9.500000e-01	2.079910e-03
-9.000000e-01	2.131119e-03
-8.500000e-01	2.184401e-03
-8.000000e-01	2.239872e-03
-7.500000e-01	2.297659e-03
-7.000000e-01	2.357895e-03
-6.500000e-01	2.420727e-03
-6.000000e-01	2.486308e-03
-5.500000e-01	2.554808e-03
-5.000000e-01	2.626406e-03
-4.500000e-01	2.701299e-03
-4.000000e-01	2.779697e-03
-3.500000e-01	2.861828e-03
-3.000000e-01	2.947940e-03
-2.500000e-01	3.038302e-03
-2.000000e-01	3.133204e-03
-1.500000e-01	3.232963e-03
-1.000000e-01	3.337926e-03
-5.000000e-02	3.448470e-03
1.421085e-13	3.565005e-03
5.000000e-02	3.687984e-03
1.000000e-01	3.817901e-03
1.500000e-01	3.955299e-03
2.000000e-01	4.100776e-03
2.500000e-01	4.254990e-03
3.000000e-01	4.418670e-03
3.500000e-01	4.592620e-03
4.000000e-01	4.777734e-03
4.500000e-01	4.975005e-03
5.000000e-01	5.185538e-03
5.500000e-01	5.410568e-03
6.000000e-01	5.651479e-03
6.500000e-01	5.909821e-03
7.000000e-01	6.187340e-03
7.500000e-01	6.486008e-03
8.000000e-01	6.808054e-03
8.500000e-01	7.156009e-03
9.000000e-01	7.532760e-03
9.500000e-01	7.941601e-03
1.000000e+00	8.386316e-03
1.050000e+00	8.871257e-03
1.100000e+00	9.401459e-03
1.150000e+00	9.982765e-03
1.200000e+00	1.062199e-02
1.250000e+00	1.132712e-02
1.300000e+00	1.210755e-02
1.350000e+00	1.297442e-02
1.400000e+00	1.394097e-02
1.450000e+00	1.502307e-02
1.500000e+00	1.623984e-02
1.550000e+00	1.761450e-02
1.600000e+00	1.917543e-02
1.650000e+00	2.095759e-02
1.700000e+00	2.300442e-02
1.750000e+00	2.537039e-02
1.800000e+00	2.812448e-02
1.850000e+00	3.135490e-02
1.900000e+00	3.517576e-02
1.950000e+00	3.973644e-02
2.000000e+00	4.523499e-02
2.050000e+00	5.193749e-02
2.100000e+00	6.020643e-02
2.150000e+00	7.054257e-02
2.200000e+00	8.364684e-02
2.250000e+00	1.005111e-01
2.300000e+00	1.225465e-01
2.350000e+00	1.517471e-01
2.400000e+00	1.908372e-01
2.450000e+00	2.431815e-01
2.500000e+00	3.117695e-01
2.550000e+00	3.956936e-01
2.600000e+00	4.825904e-01
2.650000e+00	5.426183e-01
2.700000e+00	5.435416e-01
2.750000e+00	4.848030e-01
2.800000e+00	3.982182e-01
2.850000e+00	3.140333e-01
2.900000e+00	2.450447e-01
2.950000e+00	1.923517e-01
3.000000e+00	1.530078e-01
3.050000e+00	1.236384e-01
3.100000e+00	1.014993e-01
3.150000e+00	8.457860e-02
3.200000e+00	7.145224e-02
3.250000e+00	6.111945e-02
