#omega	spectral weight
-1.000000e+01	5.231617e-04
-9.950000e+00	5.266591e-04
-9.900000e+00	5.301924e-04
-9.850000e+00	5.337620e-04
-9.800000e+00	5.373684e-04
-9.750000e+00	5.410121e-04
-9.700000e+00	5.446937e-04
-9.650000e+00	5.484138e-04
-9.600000e+00	5.521727e-04
-9.550000e+00	5.559712e-04
-9.500000e+00	5.598098e-04
-9.450000e+00	5.636890e-04
-9.400000e+00	5.676094e-04
-9.350000e+00	5.715716e-04
-9.300000e+00	5.755762e-04
-9.250000e+00	5.796239e-04
-9.200000e+00	5.837153e-04
-9.150000e+00	5.878509e-04
-9.100000e+00	5.920316e-04
-9.050000e+00	5.962578e-04
-9.000000e+00	6.005303e-04
-8.950000e+00	6.048498e-04
-8.900000e+00	6.092170e-04
-8.850000e+00	6.136326e-04
-8.800000e+00	6.180974e-04
-8.750000e+00	6.226120e-04
-8.700000e+00	6.271772e-04
-8.650000e+00	6.317938e-04
-8.600000e+00	6.364626e-04
-8.550000e+00	6.411844e-04
-8.500000e+00	6.459600e-04
-8.450000e+00	6.507902e-04
-8.400000e+00	6.556759e-04
-8.350000e+00	6.606179e-04
-8.300000e+00	6.656172e-04
-8.250000e+00	6.706746e-04
-8.200000e+00	6.757910e-04
-8.150000e+00	6.809675e-04
-8.100000e+00	6.862049e-04
-8.050000e+00	6.915041e-04
-8.000000e+00	6.968663e-04
-7.950000e+00	7.022924e-04
-7.900000e+00	7.077835e-04
-7.850000e+00	7.133406e-04
-7.800000e+00	7.189648e-04
-7.750000e+00	7.246571e-04
-7.700000e+00	7.304188e-04
-7.650000e+00	7.362510e-04
-7.600000e+00	7.421547e-04
-7.550000e+00	7.481314e-04
-7.500000e+00	7.541820e-04
-7.450000e+00	7.603080e-04
-7.400000e+00	7.665105e-04
-7.350000e+00	7.727909e-04
-7.300000e+00	7.791505e-04
-7.250000e+00	7.855907e-04
-7.200000e+00	7.921128e-04
-7.150000e+00	7.987183e-04
-7.100000e+00	8.054086e-04
-7.050000e+00	8.121852e-04
-7.000000e+00	8.190496e-04
-6.950000e+00	8.260033e-04
-6.900000e+00	8.330480e-04
-6.850000e+00	8.401852e-04
-6.800000e+00	8.474167e-04
-6.750000e+00	8.547440e-04
-6.700000e+00	8.621690e-04
-6.650000e+00	8.696934e-04
-6.600000e+00	8.773190e-04
-6.550000e+00	8.850476e-04
-6.500000e+00	8.928812e-04
-6.450000e+00	9.008217e-04
-6.400000e+00	9.088711e-04
-6.350000e+00	9.170314e-04
-6.300000e+00	9.253047e-04
-6.250000e+00	9.336931e-04
-6.200000e+00	9.421988e-04
-6.150000e+00	9.508240e-04
-6.100000e+00	9.595710e-04
-6.050000e+00	9.684422e-04
-6.000000e+00	9.774400e-04
-5.950000e+00	9.865667e-04
-5.900000e+00	9.958250e-04
-5.850000e+00	1.005217e-03
-5.800000e+00	1.014747e-03
-5.750000e+00	1.024415e-03
-5.700000e+00	1.034226e-03
-5.650000e+00	1.044182e-03
-5.600000e+00	1.054286e-03
-5.550000e+00	1.064541e-03
-5.500000e+00	1.074950e-03
-5.450000e+00	1.085517e-03
-5.400000e+00	1.096243e-03
-5.350000e+00	1.107134e-03
-5.300000e+00	1.118192e-03
-5.250000e+00	1.129420e-03
-5.200000e+00	1.140823e-03
-5.150000e+00	1.152404e-03
-5.100000e+00	1.164166e-03
-5.050000e+00	1.176114e-03
-5.000000e+00	1.188252e-03
-4.950000e+00	1.200584e-03
-4.900000e+00	1.213113e-03
-4.850000e+00	1.225845e-03
-4.800000e+00	1.238783e-03
-4.750000e+00	1.251933e-03
-4.700000e+00	1.265299e-03
-4.650000e+00	1.278885e-03
-4.600000e+00	1.292697e-03
-4.550000e+00	1.306741e-03
-4.500000e+00	1.321020e-03
-4.450000e+00	1.335541e-03
-4.400000e+00	1.350309e-03
-4.350000e+00	1.365330e-03
-4.300000e+00	1.380610e-03
-4.250000e+00	1.396155e-03
-4.200000e+00	1.411971e-03
-4.150000e+00	1.428064e-03
-4.100000e+00	1.444442e-03
-4.050000e+00	1.461111e-03
-4.000000e+00	1.478077e-03
-3.950000e+00	1.495350e-03
-3.900000e+00	1.512935e-03
-3.850000e+00	1.530840e-03
-3.800000e+00	1.549075e-03
-3.750000e+00	1.567646e-03
-3.700000e+00	1.586562e-03
-3.650000e+00	1.605832e-03
-3.600000e+00	1.625466e-03
-3.550000e+00	1.645471e-03
-3.500000e+00	1.665859e-03
-3.450000e+00	1.686639e-03
-3.400000e+00	1.707821e-03
-3.350000e+00	1.729416e-03
-3.300000e+00	1.751435e-03
-3.250000e+00	1.773889e-03
-3.200000e+00	1.796790e-03
-3.150000e+00	1.820149e-03
-3.100000e+00	1.843981e-03
-3.050000e+00	1.868297e-03
-3.000000e+00	1.893111e-03
-2.950000e+00	1.918437e-03
-2.900000e+00	1.944290e-03
-2.850000e+00	1.970684e-03
-2.800000e+00	1.997634e-03
-2.750000e+00	2.025157e-03
-2.700000e+00	2.053270e-03
-2.650000e+00	2.081989e-03
-2.600000e+00	2.111333e-03
-2.550000e+00	2.141320e-03
-2.500000e+00	2.171969e-03
-2.450000e+00	2.203300e-03
-2.400000e+00	2.235334e-03
-2.350000e+00	2.268092e-03
-2.300000e+00	2.301597e-03
-2.250000e+00	2.335872e-03
-2.200000e+00	2.370942e-03
-2.150000e+00	2.406830e-03
-2.100000e+00	2.443564e-03
-2.050000e+00	2.481170e-03
-2.000000e+00	2.519677e-03
-1.950000e+00	2.559115e-03
-1.900000e+00	2.599513e-03
-1.850000e+00	2.640904e-03
-1.800000e+00	2.683321e-03
-1.750000e+00	2.726799e-03
-1.700000e+00	2.771375e-03
-1.650000e+00	2.817085e-03
-1.600000e+00	2.863969e-03
-1.550000e+00	2.912069e-03
-1.500000e+00	2.961428e-03
-1.450000e+00	3.012090e-03
-1.400000e+00	3.064102e-03
